Agrud Technologies,Hedge Fund Management,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/agrud-technologies_ea0b82603b4f80a3.jpeg,"Economic Data,Stock & Market Data"
AI Keyboard,"Persona Detection/Segmentation,Online and Social Media Performance Tracking,Targeted Marketing",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/bobble-ai_2a47532eb77277ac.jpg,"Demographic Data,,Online/Mobile Data,SEO & Web Advertising Data,App Data,Consumer Lifestyle Data,Individual Data"
Ainnotate,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/ainnotate_9cfc120e01f53ae7.jpg,",Automotive Industry Data"
Airbtics,"Portfolio Management,Algo-Trading,Property Future Value & Mortgage Value Assessment,Hedge Fund Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/airbtics_deb3a9b562e1a42e.png,"Rental Property Data,Economic Data,Tourism Data,Web Data"
Akadia,Supply Chain Management,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/akadia_2bf80c9f776c38c4.png,"Environmental Data,Stock & Market Data,Employment Data"
aKQired,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/akqired_f300e96e86b01f1d.png,"B2B Marketing Fit Data,B2B Data"
Allfactor,Pricing Optimization,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/allfactor_1cb210999d905221.png,"C2C E-Commerce Data,Individual Data,Retail & Commerce Data"
Ambee,"Supplier Risk,Property Future Value & Mortgage Value Assessment,Product Performance Forecasting,Hedge Fund Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/ambee_c5bc1c08762b5848.png,"Environmental Data,Climate and Weather Data,Map Data,,Agriculture Data"
amp Data Intelligence,Trend Forecasting,https://datarade.ai/no-image-icon.png,"B2B Data,Consumer Lifestyle Data,Individual Data,Retail & Commerce Data"
Anachart,Portfolio Management,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/anachart_71fe21de170c23f4.jpeg,"Stock & Market Data,B2B Marketing Fit Data,B2B Intent Data"
AOK Leads,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/aok-leads_26e898f430cf0fd6.jpeg,"B2B Data,"
APAC Leads,Lead Scoring,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/apac-leads_3b00cfac9e0c08e7.jpeg,"B2B Marketing Fit Data,,Firmographic Data,B2B Data"
API-SPORTS,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/api-sports_65211b657418026f.png,"Stock & Market Data,Sports Betting Data,Esports Data"
Aquagenuity,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/aquagenuity_57289c794ef27a90.png,Environmental Data
Arabesque S-Ray,"Supplier Risk,Portfolio Management,Hedge Fund Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/arabesque-s-ray_cfa0a4e8e2680d37.png,"Climate and Weather Data,Environmental Data"
Augur Labs,"Algo-Trading,Portfolio Management,Hedge Fund Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/augur-labs_97f324d7309a3f14.png,"Economic Data,Employment Data,"
Automaton AI,"Smart Building,AI Language Learning Programs,V2X Technology,Traffic Management,Product Performance Forecasting,Supplier Risk",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/automaton-ai_0a9b204fc92822d4.png,",Traffic and Routing Data,Automotive Industry Data,Hospitality Industry Data,Retail & Commerce Data,Medical Imagery Data,Patient Data,Clinical Trial Data,Agriculture Data"
Aviation Edge,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/aviation-edge_89a371fcf112793f.png,Aerospace Industry Data
AWIS Weather Services,"Portfolio Management,Product Performance Forecasting,Promotion Planning,Supplier Risk",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/awis-weather-services_57725e54e982a5b4.png,"Climate and Weather Data,Construction Industry Data,Environmental Data,Agriculture Data"
Axiom EMI,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/axiom-emi_c9d80b75fae4690a.png,",Industry-Specific Data,Energy Data"
B2B Lists,Account-Based Marketing,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/b2b-lists-llc_883e0c982beed509.png,"B2B Marketing Fit Data,Healthcare Data,B2B Data,B2B Intent Data,Website Data"
B2BLeadlab,"Competitor Analysis,Lead Scoring",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/b2bleadlab_f48c9dac4027439d.jpeg,"Company Data,B2B Marketing Fit Data,Business Registry Data,B2B Data,"
B2Broker,"Hedge Fund Management,Algo-Trading",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/b2broker_ea16bcdaff4c694e.jpg,"Foreign Exchange Market Data,"
BDEX,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/big-data-exchange-bdex_6695f747f24c4597.png,"Location Data,Identity Data,Individual Data,Automotive Industry Data"
Bedrock AI,"AI Financial Planning Program,Algo-Trading,Hedge Fund Management,Supplier Risk",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/bedrock-ai_356e1588fafb9249.jpeg,"Stock & Market Data,Legal and IP Data,Environmental Data,Economic Data,Legal Case Data,"
Bestinfopoint,"Account-Based Marketing,Targeted Marketing",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/bestinfopoint_b60812b490ae9837.jpeg,"B2B Marketing Fit Data,Email Data,Business Registry Data,Website Data,,Individual Data,B2B Data,Marketing Attribution Data,Sports & Entertainment Events Data,Firmographic Data,Social Data,Company Data"
BigDataCloud,"MFA Security,Cybersecurity Posture",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/bigdatacloud_8e5381579afaca5e.png,"IP Data,Online/Mobile Data"
BizProspex,"Property Future Value & Mortgage Value Assessment,Lead Scoring,Online and Social Media Performance Tracking,Account-Based Marketing,Hedge Fund Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/bizprospex_1afdef34c7be7883.jpeg,"Company Data,Real Estate Data,B2B Marketing Fit Data,B2B Intent Data,B2B Data,Healthcare Data,Firmographic Data,Stock & Market Data,Business Credit Rating Data,Employment Data,"
BlueBot,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/bluebot_ae8a7f8802a5b959.svg,"Maritime Industry Data,"
Boston Analytics,Supplier Risk,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/boston-analytics_a0a2b11550a77a10.png,"Company Data,,Economic Data,Stock & Market Data,News Data,Sports & Entertainment Events Data,Business Credit Rating Data"
Brandbook,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/brandbook_85a85a65dced0c49.png,"Retail & Commerce Data,Consumer Lifestyle Data,Consumer Survey Data,"
Bright Data (Formerly Luminati Networks),Price Segmentation Strategy,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/bright%20data_9719843120f44f2d.png,"Business Registry Data,Company Data,Hospitality Industry Data,Tourism Data,Firmographic Data,Employment Data"
Bright Query,Hedge Fund Management,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/brightquery_e69f4b02201877f2.png,"Company Data,Economic Data"
Bufte,"B2B Credit Risk,Lead Scoring,Supplier Risk,Hedge Fund Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/bufte_83e1640a32eef2c7.png,"GPS Data,Automotive Industry Data"
Burbio,"Portfolio Management,Targeted Marketing",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/burbio_43cbdc3b2fb1c746.jpg,",Location Data,Individual Data,Education Industry Data,Sports & Entertainment Events Data,Retail & Commerce Data"
Caeli,Trend Forecasting,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/caeli_50e69dfe942ede6d.jpeg,"Environmental Data,Climate and Weather Data"
Cannon Valley Research,"Portfolio Management,Hedge Fund Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/cannon-valley-research_4e4b75763a7f9397.png,"Stock & Market Data,Economic Data"
Capital Intelligence Ratings (CI Ratings),,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/capital-intelligence-ltd.png,"Marketing Attribution Data,Business Credit Rating Data,Retail & Commerce Data"
CarePrecise,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/careprecise_29aa9f8445d40917.jpg,"Company Data,Healthcare Data,Clinical Trial Data,B2B Data"
catsai,"Product Performance Forecasting,Promotion Planning,Targeted Marketing",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/catsai_ba8e06b81f9bb607.png,"B2B Marketing Fit Data,B2B Data,Climate and Weather Data,Retail & Commerce Data,Sports & Entertainment Events Data,Marketing Attribution Data"
China Knowledge,"Algo-Trading,Hedge Fund Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/china-knowledge_678498b36da0de5d.png,"Stock & Market Data,Economic Data"
CitiesAI,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/citiesai_afd42bc8968d5d54.jpeg,",Foot Traffic Data"
CITYDATA.ai,Smart Cities,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/citydata-ai_05da07be111eec54.jpeg,"Location Data,Tourism Data,Foot Traffic Data,,Online/Mobile Data"
Clarity AI,"Hedge Fund Management,Portfolio Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/clarity_e0a0b7b0fa7b073b.jpg,"Company Data,Climate and Weather Data,Environmental Data"
Cloud Giant,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/cloud-giant_b7d4fdc0d976f64f.svg,"Trade Data,,Stock & Market Data"
Coresignal,"Portfolio Management,Trend Forecasting,Hedge Fund Management,Product Performance Forecasting,Lead Scoring",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/coresignal_b28e657e111c9179.jpeg,"Company Data,Stock & Market Data,Business Credit Rating Data,B2B Intent Data,Economic Data,Employment Data,B2B Data,Product Review Data,Firmographic Data"
CoworkIntel,Property Future Value & Mortgage Value Assessment,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/coworkintel_d9b857f9fb5658da.png,"Real Estate Data,"
Cryptrata,"Algo-Trading,AI Financial Planning Program,Pricing Optimization",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/cryptrata_c2d563bcf57972d2.png,",Economic Data"
CUFTanalytics,Portfolio Management,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/cuftanalytics_88d453ec5d1b37e6.png,"Economic Data,Business Credit Rating Data,"
CustomWeather,"Predictive Maintenance,Promotion Planning,Supply Chain Management,Smart Ship,Supplier Risk",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/customweather_9d7a7b035b114c80.png,",Energy Data,Environmental Data,Climate and Weather Data,Map Data,Agriculture Data"
Cyabra,"Hedge Fund Management,Trend Forecasting",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/cyabra_4f90b9719c013b6b.jpeg,"Social Media Sentiment Data,,Individual Data,Economic Data"
Danel Capital,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/danel-capital_269e22ff8c8b714c.png,"Trade Data,,Stock & Market Data"
Data Discovers,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/data-discovers_a8f88d47b0a3912b.jpeg,"Company Data,Firmographic Data,B2B Marketing Fit Data,B2B Intent Data,B2B Data"
Data Marketers Group,"Account-Based Marketing,Lead Scoring",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/data-marketers-group_de4f576b30276132.jpeg,"Firmographic Data,B2B Marketing Fit Data,B2B Data,B2B Intent Data"
data_provider,,Data Vendor Logo,
Databuild,"Lead Scoring,Targeted Marketing",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/databuild_1bc1bfe5dfe5f265.png,"Real Estate Data,B2B Data,Construction Industry Data"
Datacie,"Supplier Risk,Portfolio Management,Property Future Value & Mortgage Value Assessment,Hedge Fund Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/datacie_aaa31b086249ad90.svg,"Real Estate Investment Data,Climate and Weather Data,Environmental Data,Legal Case Data,Stock & Market Data,Economic Data,Marketing Attribution Data,Employment Data,B2B Data,,Real Estate Data,Energy Data,Individual Data,Patent Data"
DataGardener,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/datagardener_833e31d38c9c1334.png,"Company Data,Firmographic Data,Economic Data,,B2B Intent Data,Business Registry Data,B2B Data"
Datahut,"Pricing Optimization,Price Segmentation Strategy,Account-Based Marketing,Hedge Fund Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/datahut_95f02fc4839a8615.png,"Company Data,Business Registry Data,Retail & Commerce Data"
Datalastic,"Smart Ship,Supplier Risk",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/datalastic_22e9d0b0a7ecc04f.png,"Maritime Industry Data,Trade Data,"
DataSpark,"Portfolio Management,Algo-Trading,Hedge Fund Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/dataspark_fb30ecf946ef9d61.png,"Company Data,Environmental Data,Economic Data,Stock & Market Data"
Datastream Group,"Targeted Marketing,Hedge Fund Management,Behavioral Targeting",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/datastream-group_df116f49fea3ad73.png,"Individual Data,Consumer Lifestyle Data,Real Estate Data,,TV Streaming Rating Data,Property Ownership Data,Identity Data,Automotive Industry Data,Online/Mobile Data,SEO & Web Advertising Data,Political Data,Cross-Device Identity Data"
Datos,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/datos_cf6adb8113352dbc.png,"Demographic Data,"
DecaData,Hedge Fund Management,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/decadata_521e947df61a52f5.png,"C2C E-Commerce Data,Hospitality Industry Data,Sports & Entertainment Data,Individual Data,Retail & Commerce Data"
Demografy,Persona Detection/Segmentation,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/demografy_25c5d3d1b0adf3d7.png,"Demographic Data,,Individual Data"
DestinyCS,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/destinycs_10b3a7fde862dec3.png,
Dexi.io,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/dexi-io_fb8a8d63aba3511f.jpg,"Hospitality Industry Data,Tourism Data,Aerospace Industry Data"
Dexivo,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/dexivo_4fcd3e2a1a7b8d64.jpeg,"Individual Data,"
Diaceutics,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/diaceutics_f0309982b5537ce6.jpeg,"Healthcare Data,,Medical Claims Data,Patient Data"
Digest Africa,Portfolio Management,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/digest-africa_7a91d9d592ffa10f.png,"Economic Data,B2B Data,Company Data,Business Credit Rating Data"
Donuka,Property Future Value & Mortgage Value Assessment,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/donuka_0a444ec744583c88.jpeg,"Real Estate Data,Real Estate Investment Data"
Earthmetry,Algo-Trading,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/earthmetry_1f53b32f422fb7c1.png,"Environmental Data,Energy Data,Economic Data,Satellite Data,Web Data"
Edge,"Product Performance Forecasting,Portfolio Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/edge-by-ascential_2aa799ca8a50ea33.png,"Retail & Commerce Data,Location Data,Individual Data"
Edison Trends,"Hedge Fund Management,Trend Forecasting",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/edison-trends_b3430654ee1a0a1c.png,"Tourism Data,C2C E-Commerce Data,Email Data,,Retail & Commerce Data"
Email on Business,Account-Based Marketing,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/email-on-business.PNG,",B2B Marketing Fit Data,B2B Data"
Envestnet | Yodlee,"Trend Forecasting,Algo-Trading,Product Performance Forecasting",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/yodlee-envestnet.png,"Individual Data,Retail & Commerce Data,"
EPFR Global,"Algo-Trading,Portfolio Management,Hedge Fund Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/epfr-global_4ec305f1b50df819.png,"Stock & Market Data,Economic Data,"
EPIC Translations,"Hedge Fund Management,Product Performance Forecasting,Competitor Analysis,Behavioral Targeting",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/epic-translations_440f49327e869cc3.jpeg,"Online/Mobile Data,,Marketing Attribution Data,Trade Data,Website Data"
Esales Data,"Lead Scoring,Targeted Marketing",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/esales-data_5d9db95a3ad5108b.png,"Real Estate Data,B2B Marketing Fit Data,B2B Data,Economic Data,B2B Intent Data,Firmographic Data,,Marketing Attribution Data,Legal Case Data"
ESG Analytics,"Portfolio Management,Algo-Trading",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/esg-analytics_f242d27b10688d3e.jpeg,"Company Data,Stock & Market Data,Environmental Data,News Data,Sports & Entertainment Events Data"
ESG Analytics Ai,"Algo-Trading,Supplier Risk,Online and Social Media Performance Tracking",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/esg-analytics-ai_2cbd75230f1aa159.jpeg,"Climate and Weather Data,Environmental Data"
Eskimi,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/eskimi_2180cc7d8c967767.png,"Online/Mobile Data,,Industry-Specific Data,Identity Data"
Estated,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/estated_7b55cd0db652f935.png,"Real Estate Investment Data,Real Estate Data"
Event Registry,,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/eventregistry_db2cc660c59fb78f.jpeg,Environmental Data
Every Market Media,Lead Scoring,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/every-market-media_52ec07ca2a45c996.png,",B2B Marketing Fit Data,Business Registry Data,Website Data,Email Data,Individual Data,B2B Data,B2B Intent Data,Employment Data,Firmographic Data,Industry-Specific Data,Company Data"
Facteus,"Algo-Trading,Trend Forecasting",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/arm-insight_b0b15d86da3d1e36.jpg,"Individual Data,Consumer Lifestyle Data,Retail & Commerce Data"
Fifty,Targeted Marketing,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/fifty_c115d6c75ab17bf7.png,",Demographic Data,Social Data,Economic Data"
Finage,Portfolio Management,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/finage_645ab7b5ce2c81a0.png,"Stock & Market Data,Trade Data,Foreign Exchange Market Data,"
Financial Modeling Prep,Portfolio Management,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/financial-modeling-prep_14eab54b00f17b3a.png,"Stock & Market Data,Legal and IP Data,Economic Data"
Finispia,"Hedge Fund Management,Portfolio Management",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/finispia_8d0ca042425cae1f.jpeg,"Trade Data,B2B Intent Data,Economic Data,Stock & Market Data"
Finnworlds,Portfolio Management,https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/finnworlds_954a6b943b857d58.png,"Economic Data,Stock & Market Data,"
FinPricing,"B2B Credit Risk,Hedge Fund Management,Supplier Risk,Portfolio Management,Pricing Optimization,Algo-Trading",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/finpricing_026c3316f36f9736.png,"Stock & Market Data,Economic Data,,Employment Data,Foreign Exchange Market Data,Commodity Market Data"
FirstRate Data,"Portfolio Management,Algo-Trading",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/firstrate-data_376add193b5f0412.JPG,"Legal and IP Data,Stock & Market Data,Economic Data"
Fraudlogix,"B2C Fraud,Online and Social Media Performance Tracking",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/fraudlogix_c484bbcf79fb2e23.png,",Online/Mobile Data,IP Data,App Data"
Fygen,"Algo-Trading,Supplier Risk,Competitor Analysis",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/fygen_adc074e594a3f050.jpeg,"Economic Data,,Stock & Market Data,Industry-Specific Data"
Gambit,"Promotion Planning,Product Performance Forecasting",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/gambit_59b7bbdcb617174b.png,"Healthcare Data,Consumer Lifestyle Data,Stock & Market Data"
GBSN Research,"Product Performance Forecasting,Competitor Analysis,Lead Scoring,Property Future Value & Mortgage Value Assessment",https://img-proxy.datarade.net/x80/https://datarade.ams3.cdn.digitaloceanspaces.com/logos/production/vendor/gbsn-research_a15d31fa0ec43c12.jpg,"Healthcare Data,Product Review Data,,B2B Data,Real Estate Data,Real Estate Investment Data,Individual Data"
