post_title,ID,post_content,post_excerpt,post_date,post_name,post_author,post_status,featured_image,post_format,comment_status,ping_status,pinged,post_parent,menu_order,acf_caption,acf_alt_text,acf_description,acf_file_name,acf_title,related_data_providers,related_use_cases,categories,logo,rate,question,title,meta_desc
Creditsafe,1027.0,"Creditsafe is a data provider specializing in B2B services. It provides geospatial, company, and other data for B2B sales and marketing campaigns. Additionally, Creditsafe runs international credit risk analyses and provides various compliance data—from anti-money laundering to politically-exposed persons (PEP) and Sanctions checks to identity and ""know your customer"" (KYC) checks.&nbsp;","Creditsafe is a data provider specializing in B2B services. It provides geospatial, company, and other data for B2B sales and marketing campaigns. Additionally, Creditsafe runs international credit risk analyses and provides various compliance data—from anti-money laundering to politically-exposed persons (PEP) and Sanctions checks to identity and ""know your customer"" (KYC) checks.",2020-08-29 14:36:05,creditsafe,datahunters,publish,https://www.data-hunters.com/?p=1027,,closed,closed,,0.0,0.0,,,,,,"CrediWeb,Infocredit Group,Worldbox,Credit Report,CRISTAL CREDIT,CRIF",,"Stock & Market Data,Firmographic Data,Business Registry Data,Business Credit Rating Data,Business Registry Data,Company Data",,,,Creditsafe,Creditsafe provides B2B marketing data as well as risk management and compliance data to keep your business safe. Review this data vendor
Datastream,1029.0,"Datastream provides both B2C and B2B data. Their B2C data services include email, mobile location, demographic, and customer lifestyle or segmentation data for marketing and remarketing purposes. Their B2B data services include industry type, company size, and company location data.","Datastream provides email, geospatial, demographic, lifestyle, industry specific, & company data for your B2C & B2B needs.",2020-08-29 14:36:05,datastream,datahunters,publish,https://www.data-hunters.com/?p=1029,,closed,closed,,0.0,0.0,,,,,,"BIGDBM,Infutor Data Solutions,Adstra,Blue Mail Media,Stirista","Account-Based Marketing,,,,,Hedge Fund Management,,,,Targeted Marketing,,Behavioral Targeting,Behavioral Targeting,,,,,,,,,,,Targeted Marketing,,,,,,,Remarketing Campaigns","B2B Data,Identity Data,TV Streaming Rating Data,Individual Data,Consumer Lifestyle Data,Firmographic Data,Automotive Industry Data,App Data,,B2B Data,Location Data,Online/Mobile Data,B2B Marketing Fit Data,Political Data,Location Data,,,Consumer Lifestyle Data,Real Estate Data,SEO & Web Advertising Data,Cross-Device Identity Data,Individual Data,B2B Data,Real Estate Data,Property Ownership Data,,Identity Data,B2B Intent Data,Online/Mobile Data,Real Estate Data,",,,,Datastream,"Datastream provides email, geospatial, demographic, lifestyle, industry specific, & company data for your B2C & B2B needs. Review the vendor"
DataXpand,1030.0,"DataXpand provides demographic, brand awareness, intent, and consumer lifestyle data for Latin America, Europe, and US Hispanics. Latinos are one of the fastest-growing demographics worldwide so marketing to them may be one of the best decisions you can make, no matter your industry.DataXpand also enables you to distribute your own data on this demographic.","DataXpand is a data provider offering demographic, brand awareness, intent, and consumer lifestyle data for Latin America, Europe, and US Hispanics.",2020-08-29 14:36:05,dataxpand,datahunters,publish,https://www.data-hunters.com/?p=1030,,closed,closed,,0.0,0.0,,,,,,"AuDigent,Eyeota,Audiencerate,AudienceProject",,"Demographic Data,Individual Data,Consumer Lifestyle Data,Demographic Data,Social Data,",,,,DataXpand,"DataXpand provides demographic, lifestyle, brand awareness, and B2B & B2C intent data for Latin America, Europe, and US Hispanics. Discuss this market data"
Delidatax,1031.0,"Delidatax provides cross-device, mobile app, customer segmentation, demographic, consumer lifestyle, and intent data. Online publishers use all this data to enhance their advertising so they don't have to use paywalls.","Delidatax provides cross-device, mobile app, customer segmentation, demographic, consumer lifestyle, and intent data. Online publishers use all this data to enhance their advertising so they don't have to use paywalls.",2020-08-29 14:36:05,iab-delidatax,datahunters,publish,https://www.data-hunters.com/?p=1031,,closed,closed,,0.0,0.0,,,,,,33Across,"Trend Forecasting,,,Online and Social Media Performance Tracking,Online and Social Media Performance Tracking",",Individual Data,Social Data,App Data,Online/Mobile Data,Individual Data,Consumer Lifestyle Data,,Web Data,Web Data,App Data,Sports & Entertainment Data,Identity Data,Individual Data,Consumer Lifestyle Data",,,,Delidatax,"IAB offers Delidatax, which provides customer lifestyle, demographic and intent data via cross-device and mobile data to marketing campaigns."
Edge by Ascential,1032.0,"Edge by Ascential provides online retail data solutions, from product design to marketing. These include retail forecasting, price optimization, online traffic, customer segmentation, competitor, and digital shelf data.","Edge by Ascential provides online retail data solutions, from product design to marketing. These include retail forecasting, price optimization, online traffic, customer segmentation, competitor, and digital shelf data.",2020-08-29 14:36:05,edge-by-ascential,datahunters,publish,https://www.data-hunters.com/?p=1032,,closed,closed,,0.0,0.0,,,,,,"DataWeave,IRI Data Cloud,peekd",",Competitor Analysis,Competitor Analysis,Product Performance Forecasting,Retail AR,,,,Portfolio Management,Pricing Optimization,Pricing Optimization,Price Segmentation Strategy,,Promotion Planning,,Traffic Management","Location Data,C2C E-Commerce Data,Retail & Commerce Data,Retail & Commerce Data,Retail & Commerce Data,Retail & Commerce Data,Individual Data,,Website Data,,",,,,Edge by Ascential,"Edge by Ascential provides online B2C data: price optimization, customer segment, web traffic, competitor analysis, etc. Discuss and review this vendor"
Emailage,1033.0,"Emailage is a data provider specializing in fraud prevention and risk management, focusing on fraud detection through email. Emailage is a LexisNexis® company.",,2020-08-29 14:36:05,emailage,datahunters,publish,https://www.data-hunters.com/?p=1033,,closed,closed,,0.0,0.0,,,,,,,,,,,,Emailage,"Emailage is a data provider and LexisNexis® company specializing in fraud prevention and risk management, focusing on fraud detection through email."
Exante,1034.0,"Exante is a data provider for businesses in the US, EU, and Asia-Pacific financial markets. Exante supplies risk management, investment, stocks, and bond data.","Exante is a data provider for businesses in the US, EU, and Asia-Pacific financial markets. Exante supplies risk management, investment, stocks, and bond data.",2020-08-29 14:36:05,exante,datahunters,publish,https://www.data-hunters.com/?p=1034,,closed,closed,,0.0,0.0,,,,,,,,,,,,Exante,"Exante works in the US, EU, and Asia-Pacific financial markets, providing risk management and investment data. Review their services"
Eyeota,1035.0,"Eyeota is a data provider supplying online and offline customer behavior and demographic data to marketers about their target audience. Eyeota's customer behavior data includes transactional, seasonal, interest, and survey data.&nbsp;",,2020-08-29 14:41:29,eyeota,datahunters,publish,https://www.data-hunters.com/?p=1035,,closed,closed,,0.0,0.0,,,,,,"AuDigent,AnalyticsIQ,AudienceProject,AlikeAudience,DataXpand",,"Demographic Data,Economic Data,B2B Data,Individual Data,Demographic Data,App Data,B2B Data,Tourism Data,",,,,Eyeota,"Eyeota provides marketers with demographic and customer data, including tourism, interest, and survey data. Discuss and review Eyeota with others"
Factual,1036.0,"Factual is a data provider offering location data. While they offer foot traffic and marketing data, they specialize in points of interest (POI) with twenty-five different POI attributes delineated.Factual integrates well with various apps. Recently, it announced a partnership with <a href=""https://www.data-hunters.com/data_provider/foursquare/"">Foursquare</a>, a location recommendation app.","Factual is a data provider offering location data. While they offer foot traffic and marketing data, they specialize in points of interest (POI) with twenty-five different POI attributes delineated.Factual integrates well with various apps. Recently, it announced a partnership with Foursquare, a location recommendation app.",2020-08-29 14:41:29,factual,datahunters,publish,https://www.data-hunters.com/?p=1036,,closed,closed,,0.0,0.0,,,,,,"PlaceIQ,Quadrant,Reveal Mobile,inmarket,Unacast",,"Location Data,Business Registry Data,Satellite Data,App Data,Tourism Data,Location Data,Online/Mobile Data,,Tourism Data",,,,Factual,"Factual provides Point of Interest and other location data, like foot traffic data, to businesses. Discuss Factual's unique 25 POI attributes"
GBG,1043.0,"<span data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;GBG Group provides identity verification and location data to identfy fraud and improve compliance and risk management. &quot;}"" data-sheets-userformat=""{&quot;2&quot;:513,&quot;3&quot;:{&quot;1&quot;:0},&quot;12&quot;:0}"">GBG Group provides identity verification and location data to keep companies safe from fraud. Companies use the GBG company data to identify fraud and improve risk management and compliance processes.</span>Based in the UK, GBG Group has expanded worldwide with its use of machine learning and early adoption of technological advances like facial recognition software.In 2015, GBG Group acquired <a href=""https://www.data-hunters.com/data_provider/loqate/"">Loqate</a>.",GBG Group provides identity verification and location data to keep companies safe from fraud. Companies use the GBG company data to identify fraud and improve risk management and compliance processes.,2020-08-29 14:41:29,gbg-company,datahunters,publish,https://www.data-hunters.com/?p=1043,,closed,closed,,0.0,0.0,,,,,,"AnalyticsIQ,Acxiom,BIGDBM,Adstra,AcquireWeb",,"Demographic Data,Consumer Lifestyle Data,Consumer Lifestyle Data,Individual Data",,,,GBG,"GBG company prevents fraud and strengthens business risk management processes with identity, location, and fraud data. Talk about GBG Group"
IBM The Weather Company,1046.0,IBM The Weather Company is a premier data provider for weather and satellite data. Both private individuals and companies as well as public institutions trust The Weather Company's data.,"IBM's subsidiary, The Weather Company, is a premier data provider for weather and satellite data. Both private individuals and companies as well as public institutions trust The Weather Company's data. ",2020-08-29 14:41:29,ibm-the-weather-company,datahunters,publish,https://www.data-hunters.com/?p=1046,,closed,closed,,0.0,0.0,,,,,,"Dark Sky,Weather Trends International,Weather Source",,Climate and Weather Data,,,,IBM The Weather Company,IBM: The Weather Company provides weather data and forecasts via satellite images powered by supercomputers for private and public users.
Kantar Media,1047.0,"Kantar Media is a data provider specializing in retail and marketing data. Kantar Media provides demographic, consumer transaction, consumer sentiment, social media, lifestyle, and price optimization data.Users can use the information provided by Kantar to plan promotions and campaigns as well as to look back and evaluate what worked best for their customers.","Kantar Media tracks retail customers & competitor data. Users can perform prices optimization, customer segmentation, and social media tracking with this data",2020-08-29 14:41:30,kantar-media,datahunters,publish,https://www.data-hunters.com/?p=1047,,closed,closed,,0.0,0.0,,,,,,,,,,,,Kantar Media,"Kantar Media tracks retail customers & competitor data. Talk about Kantar's price optimization, customer segmentation, and social media data"
Kochava Collective,1048.0,"The Kochava Collective tracks mobile devices to offer demographic, mobile app, point-of-interest, consumer interest, cross-device identity, and persona detection data. Kochava Collective operates worldwide.","The Kochava Collective tracks mobile devices to offer demographic, mobile app, point-of-interest, consumer interest, cross-device identity, and persona detection data. Kochava Collective operates worldwide.",2020-08-29 14:41:30,kochava-collective-2,datahunters,publish,https://www.data-hunters.com/?p=1048,,closed,closed,,0.0,0.0,,,,,,"Complementics,Datonics,adsquare Data Alliance,Vserv",",,","Demographic Data,Location Data,,App Data,IP Data,Tourism Data,Location Data,Online/Mobile Data,Location Data,Online/Mobile Data,Consumer Lifestyle Data,Online/Mobile Data,Cross-Device Identity Data,Location Data,,Location Data,Location Data,App Data",,,,Kochava Collective,"Kochava generates mobile app POI, consumer interest, persona detection, cross-device identity, and demographic data. Talk about the company"
Krill Technologies,1049.0,"Founded in 2018 in Pune, Krill Technologies provides B2B leads, marketing, company contact, and <a href=""https://www.data-hunters.com/category/b2b_data/b2b-content-intent-data/"">B2B intent data</a>. They also provide content syndication and <a href=""https://www.data-hunters.com/use_case/account-based-marketing/"">account-based marketing</a> (ABM) services to make your marketing campaigns easy to manage.","Founded in 2018 in Pune, Krill Technologies provides B2B leads, marketing, company contact, and intent data. They also provide content syndication and account-based marketing (ABM) services to make your marketing campaigns easy to manage.",2020-08-29 14:41:30,krill-technologies,datahunters,publish,https://www.data-hunters.com/?p=1049,,closed,closed,,0.0,0.0,,,,,,"Blue Mail Media,True Influence,IT Central Station","Account-Based Marketing,Account-Based Marketing,,Targeted Marketing,,,,Competitor Analysis,,,,,,,,,Lead Scoring,","B2B Data,Firmographic Data,Technographics Data,B2B Data,B2B Marketing Fit Data,Email Data,B2B Data,,Marketing Attribution Data",,,,Krill Technologies,"Krill company provides B2B leads, marketing, contact, and intent data. They also offer content syndication services. Talk about them"
Liveramp,1050.0,"LiveRamp is a data provider offering B2C and B2B marketing solutions using cross-device identity data. In 2019, LiveRamp won <a href=""https://martechbreakthrough.com/2019-winners/"">Best Overall Tech Solution</a> from the MarTech Breakthrough Awards.","LiveRamp is a data provider offering B2C and B2B marketing solutions using cross-device identity data. In 2019, LiveRamp won Best Overall Tech Solution from the MarTech Breakthrough Awards.",2020-08-29 14:41:30,liveramp,datahunters,publish,https://www.data-hunters.com/?p=1050,,closed,closed,,0.0,0.0,,,,,,"Claritas,Adstra,Zeotap",,"Identity Data,Demographic Data,Online/Mobile Data,Consumer Lifestyle Data",,,,Liveramp,"Using cross-device identity and transactional technology, LiveRamp provides award-winning B2C and B2B marketing solutions. Discuss the data"
Lotame,1051.0,"Lotame is a data provider offering customer onboarding and churn prevention solutions through customer segmentation, behavior, demographics, and marketing data.Lotame considers itself a pioneer in the field of data management and analysis, incorporating in 2006 and expanding worldwide.","Lotame is a data provider offering customer onboarding and churn prevention solutions through customer segmentation, behavior, demographics, and marketing data.Lotame considers itself a pioneer in the field of data management and analysis, incorporating in 2006 and expanding worldwide.",2020-08-29 14:41:30,lotame,datahunters,publish,https://www.data-hunters.com/?p=1051,,closed,closed,,0.0,0.0,,,,,,"Stirista,Oracle Datalogix,Intimate Merger,Mobilewalla,AnalyticsIQ,Adstra",,"Demographic Data,TV Streaming Rating Data,Consumer Lifestyle Data,Demographic Data,,Individual Data,,",,,,Lotame,"Lotame helps businesses convert and retain customers with customer segment, behavior, and demographic data. Discuss Lotame's data with others"
Mobilewalla,1053.0,"Mobilewalla applies new techniques to mobile app and geolocation data to create new, precise consumer segmentation categories for companies.Further, Mobilewalla is worldwide, offering geospatial, demographic, and behavioral data for hundreds of millions of people.","Mobilewalla applies new techniques to mobile app and geolocation data to create new, precise consumer segmentation categories for companies.Further, Mobilewalla is worldwide, offering geospatial, demographic, and behavioral data for hundreds of millions of people.",2020-08-29 14:41:30,mobilewalla,datahunters,publish,https://www.data-hunters.com/?p=1053,,closed,closed,,0.0,0.0,,,,,,"PushSpring,Audiens,Vserv,Datonics,adsquare Data Alliance,Complementics",,"Demographic Data,Economic Data,Individual Data,Consumer Lifestyle Data,Demographic Data,B2B Intent Data,Social Data,App Data,Online/Mobile Data,,Individual Data,,,,",,,,Mobilewalla,Mobilewalla uses mobile location & app usage data to create customer demographic & behavioral segments. Talk about Mobilewalla's technique
Oracle Datalogix,1054.0,"Datalogix by Oracle, provides companies with: consumer transaction, consumer behavior, segmentation, and <a href=""https://www.data-hunters.com/category/demographic-data/"">demographic data</a>. This can be used to both market to new customers as well as to increase brand affiliation among existing customers.","Oracle's recent purchase, Datalogix, provides consumer transaction, behavior, segmentation, and demographic data. Companies use the data not only to market to new customers but also to increase brand affiliation among existing customers.",2020-08-29 14:41:30,oracle-datalogix,datahunters,publish,https://www.data-hunters.com/?p=1054,,closed,closed,,0.0,0.0,,,,,,"Stirista,Intimate Merger,Lotame,Adstra,Connexity,AnalyticsIQ",,"Demographic Data,Marketing Attribution Data,Consumer Lifestyle Data,",,,,Oracle Datalogix,"Oracle Datalogix offers consumer transaction, behavior, segmentation, & demographic data for marketing and enhancement of customer loyalty."
PipeCandy,1055.0,"PipeCandy provides direct-to-consumer (D2C) ecommerce company data to investors, lendors, and other businesses. Additional PipeCandy data includes retail, shipping, and sales prediction data on online companies.","PipeCandy provides direct-to-consumer (D2C) ecommerce company data to investors, lendors, and other businesses. Additional PipeCandy data includes retail, shipping, and sales prediction data on online companies.",2020-08-29 14:41:30,pipecandy,datahunters,publish,https://www.data-hunters.com/?p=1055,,closed,closed,,0.0,0.0,,,,,,DataWeave,"Account-Based Marketing,Account-Based Marketing,Account-Based Marketing,,,Hedge Fund Management,Lead Scoring,,,","B2B Data,C2C E-Commerce Data,Company Data,Retail & Commerce Data,,,,,C2C E-Commerce Data,Retail & Commerce Data",,,,PipeCandy,"PipeCandy tracks shipping, sales prediction, and other data on ecommerce companies for investors, lendors, and other companies. Discuss them"
Pushspring,1056.0,"PushSpring offers mobile marketing solutions through the collection and dissemination of customer intent, behavior, geolocation, demographic, lifestyle, interest, political affiliation, mobile app usage, and consumer transaction data.","PushSpring offers mobile marketing solutions through the collection and dissemination of customer intent, behavior, geolocation, demographic, lifestyle, interest, political affiliation, mobile app usage, and consumer transaction data.",2020-08-29 14:41:30,pushspring,datahunters,publish,https://www.data-hunters.com/?p=1056,,closed,closed,,0.0,0.0,,,,,,"Mobilewalla,Vserv,adsquare Data Alliance,Kochava Collective,Adello,Datonics,Complementics",,"Demographic Data,Economic Data,Location Data,Marketing Attribution Data,Individual Data,Consumer Lifestyle Data,Demographic Data,App Data,Online/Mobile Data,",,,,Pushspring,PushSpring provides mobile marketers with a vast array of customer behavior and app usage data. Review PushSpring here
Quadrant,1057.0,Quadrant provides geospatial and customer behavior data and creates marketing segment from them. Quadrant accomplishes this via a secure public block-chain Proof of Work (PoW) and Proof of Authority (PoA) consensus algorithm.&nbsp;,Quadrant provides geospatial and customer behavior data and creates marketing segment from them. Quadrant accomplishes this via a secure public block-chain Proof of Work (PoW) and Proof of Authority (PoA) consensus algorithm.,2020-08-29 14:41:30,quadrant,datahunters,publish,https://www.data-hunters.com/?p=1057,,closed,closed,,0.0,0.0,,,,,,"inmarket,Reveal Mobile,Factual,Unacast",",,,,Targeted Marketing,,,,","Location Data,Tourism Data,Location Data,Location Data,Location Data,Location Data,Online/Mobile Data,Location Data",,,,Quadrant,Quadrant data includes geospatial and other data to create customer segments for marketers. Discuss Quadrant's data and AI programs
Schober,1061.0,"Schober Information Group Deutschland provides CRM and marketing data. Founded in 1947, Schober has lead the development of multi-channel marketing solutions. Above all, they have always maintained that customer care and privacy are of utmost importance.","Schober Information Group Deutschland provides CRM and marketing data. Founded in 1947, Schober has lead the development of multi-channel marketing solutions. Above all, they have always maintained that customer care and privacy are of utmost importance.",2020-08-29 14:41:30,schober-data,datahunters,publish,https://www.data-hunters.com/?p=1061,,closed,closed,,0.0,0.0,,,,,,Cloudlead,,"Economic Data,B2B Data,B2B Data,B2B Marketing Fit Data,Marketing Attribution Data",,,,Schober,"Schober data has provided marketers and CSR managers with customer behavior, intent, and segment data for 60+ years. Discuss Schober's data"
Semasio,1062.0,"Semasio helps businesses target specific customer segments through analyzing the words on the web pages they view.They accomplish this semantic targeting approach by tracking keywords and creating seed audiences. Conversely, they can exclude audiences based on the content of certain web pages they read. In short, the machine learning natural language processing (NLP) approach that Semasio provides is incredibly specific and useful.&nbsp;","Semasio helps businesses target specific customer segments through analyzing the words on the web pages they view.They accomplish this semantic targeting approach by tracking keywords and creating seed audiences. Conversely, they can exclude audiences based on the content of certain web pages they read. In short, the machine learning natural language processing (NLP) approach that Semasio provides is incredibly specific and useful.",2020-08-29 14:41:30,semasio,datahunters,publish,https://www.data-hunters.com/?p=1062,,closed,closed,,0.0,0.0,,,,,,,,,,,,Semasio,Semasio targets specific customers by analyzing the words on the web pages they view. Talk about Semasio's unique ML NLP approach with others
