,post_title,use_case,data_category,related_data_sets,data_provider
61,Abios Esports API,,,,Abios
62,Abios Widgets,,,,Abios
63,"Accern - ESG Insights & Analytics for US Companies (AI powered, web data)",",Portfolio Management,Supplier Risk","Economic Data,Environmental Data,Web Data","Accern - COVID-19 Insights & Analytics for US companies (AI powered, NLP, web data)        by Accern      ,ESG Analytics Web Based Platform - ESG data for 193 Countries, 60k companies and 1200 ETFs         by ESG Analytics      ,Accern - Company Credit Insights & Analytics in all US companies (AI powered, public news & social media)        by Accern      ,Act Analytics use real-time, trusted news coverage and proven AI to give investors unbiased ESG insights that drive alpha and manage risk        by Act Analytics      ",Accern
64,"Accern - US Company Financial Filings Insights & Analytics (AI powered, SEC data, 20 years history)","Portfolio Management,","Stock & Market Data,,Economic Data","Accern - ESG Insights & Analytics for US Companies (AI powered, web data)         by Accern      ,Echo Analytics - POI Data tied to Mobility Insights in the EU-5        by Echo Analytics      ,Nikkei Corporate Financial Data Japan -  4,000 listed companies, 50 years history, daily updated        by Nikkei Market Data      ,Alqami US Risk Analysis of Corporate Filings - predicting corporate financial results         by Alqami      ",Accern
65,Accern Data Store,,,,Accern
66,Accern Deployments,,,,Accern
67,Accutrend Data Canadian Business Data,,,,Accutrend Data
68,Accutrend Data Mexican Business Data,,,,Accutrend Data
69,Accutrend Data New Business Data,,,,Accutrend Data
70,AccuWeather Current Conditions API,,,,AccuWeather
71,AccuWeather Forecast API,,,,AccuWeather
72,AccuWeather Location API,,,,AccuWeather
73,ACLED Curated Data,,,,ACLED
74,ACLED Export Tools,,,,ACLED
75,Aclima Insights for Community.,,,,Aclima
76,Aclima Pro,,,,Aclima
77,AcquireLists B2B Email Data Lists,,,,AcquireLists
78,AcquireLists Target Business Lists,,,,AcquireLists
79,AcquireWeb AcquireInsight,,,,AcquireWeb
80,AcquireWeb AcquireOmni,,,,AcquireWeb
81,ACRe Data ESG Scoring Methodology,,,,ACRe Data
82,ACTIVFeed,,,,ACTIV
83,ACTIVFeed Direct,,,,ACTIV
84,ACTIVWorkstation,,,,ACTIV
85,AcuityAds Illumin,,,,AcuityAds
86,AcuityAds Live Audiences,,,,AcuityAds
87,Acuris Attention Advertising,,,,Acuris
88,Acuris Infrastructure,,,,Acuris
89,Acuris Transactions,,,,Acuris
90,Acxiom - Consumer Marketing Data - Analytics File and Services (Germany & UK Covered),,"Individual Data,Consumer Survey Data","Acxiom Geo-Spatial Data and Analytics (Germany & UK Covered)        by Acxiom      ,ChannelIQ by AnalyticsIQ - Consumer Marketing Data USA - 241M Individuals        by AnalyticsIQ      ,Consumer Marketing Data | Direct Marketing Data | Consumer Data - 200M+ Consumer Records        by Blue Mail Media      ,German Consumers/ B2C in Germany        by Techsalerator      ",Acxiom
91,Acxiom Analytics Platform Solutions,,,,Acxiom
92,"Acxiom Audience Activation 1st Party Data - CRM Data Onboarding (USA, UK & Germany Covered)",",Remarketing Campaigns",",Retail & Commerce Data","Acxiom Activation Lookalikes - CRM Data (USA, Germany, UK, India & Brazil Covered)        by Acxiom      ,Fifty: 1st Party Audience Data for CRM Enrichment (Asia, Europe, North America)        by Fifty      ,NetWise Audience Platform self-serve access to quality activation-ready, multi-channel B2B data        by NetWise      ,Acxiom High Value Audiences (HVA) - Audience Data (Germany, UK & India Covered)        by Acxiom      ",Acxiom
93,Acxiom Audience Data Enhancement - Validate & Enhance Customer Data (Germany Covered),,"Demographic Data,Individual Data","Acxiom Custom High Value Audiences (HVA) - Audience Data (Germany, UK & India Covered)        by Acxiom      ,B2B Contact Data Cleansing and Enhancement        by Outwardmedia      ,Public Sector Customer Analysis and Potential (CAP) Report UK by Oscar Research | data intelligence & enhancement service         by Oscar Research      ,Data Appending/ Data Cleansing/ Data Enhancement/ List Building Services        by B2B Lists      ",Acxiom
94,Acxiom B2B INFOBASE(r) - B2B & Company Database (Germany Covered),,"B2B Data,B2B Intent Data","Acxiom INFOBASE® - Consumer Data - Individual Level Database (Germany, UK & India Covered)        by Acxiom      ,B2B Live Global Company Database        by 1 Stop Data      ,Acxiom Geo-Spatial Data and Analytics (Germany & UK Covered)        by Acxiom      , B2B Contact Database of Enterprise Companies in Germany, Austria, Switzerland - Address-Base        by Address-Base      ",Acxiom
95,"Acxiom Custom High Value Audiences (HVA) - Audience Data (Germany, UK & India Covered)",,"Consumer Lifestyle Data,Demographic Data,Individual Data,Marketing Attribution Data","Acxiom High Value Audiences (HVA) - Audience Data (Germany, UK & India Covered)        by Acxiom      ,Acxiom Customer Data Integration (CDI) - Audience Data (Germany & UK Covered)        by Acxiom      ,Custom Audiences: Audience Data for LATAM by Retargetly         by Retargetly      ,start.io Custom Audiences - Audience Data for North & South America, Europe, Oceania & Africa        by start.io      ",Acxiom
96,Acxiom Data Monetization and Collaborative Marketing Solutions,,,,Acxiom
97,Acxiom Geo-Spatial Data and Analytics (Germany & UK Covered),"Targeted Marketing,,Geospatial Effort Prioritization/Store Location Planning","Location Data,Demographic Data,","Acxiom - Consumer Marketing Data - Analytics File and Services (Germany & UK Covered)        by Acxiom      ,Axiom EMI Oil & Gas and Renewables Data (Global): Offshore Energy Geospatial Analytics & Vessel Tracker        by Axiom EMI      ,DDS Data Grid for Germany and Europe | for cross-border spatial analyses, independent from variations of administrative or postal entities        by PTV Group      ,Roq.ad ROPO360 (Research Online, Purchase Offline) Analytics⎢Identity Data for Germany & Poland        by Roq.ad      ",Acxiom
98,"Acxiom High Value Audiences (HVA) - Audience Data (Germany, UK & India Covered)",,"Consumer Lifestyle Data,Demographic Data,Individual Data,Marketing Attribution Data","Acxiom Custom High Value Audiences (HVA) - Audience Data (Germany, UK & India Covered)        by Acxiom      ,Acxiom Customer Data Integration (CDI) - Audience Data (Germany & UK Covered)        by Acxiom      ,Custom Audiences: Audience Data for LATAM by Retargetly         by Retargetly      ,start.io Prepackaged Audiences - Audience Data with Global Coverage        by start.io      ",Acxiom
99,Acxiom Infobase,,"B2B Data,B2B Intent Data","Acxiom INFOBASE® - Consumer Data - Individual Level Database (Germany, UK & India Covered)        by Acxiom      ,B2B Live Global Company Database        by 1 Stop Data      ,Acxiom Geo-Spatial Data and Analytics (Germany & UK Covered)        by Acxiom      , B2B Contact Database of Enterprise Companies in Germany, Austria, Switzerland - Address-Base        by Address-Base      ",Acxiom
100,Acxiom Marketing Database Solutions,,,,Acxiom
101,Acxiom Personix,,,,Acxiom
102,Acxiom Real Identity(tm) - Customer Identity Data (Germany & UK Covered),,"Individual Data,Consumer Lifestyle Data,Demographic Data,Identity Data","Roq.ad Public Cross-Device Identity Graph⎢Identity Data for USA, Germany, Poland        by Roq.ad      ,Acxiom Customer Data Integration (CDI) - Audience Data (Germany & UK Covered)        by Acxiom      ,Adstra Identity Graph | People Identity Data USA (HEM, MAID)        by Adstra      ,TL1mkt Identity Graph for Identity Resolution⎢WORLDWIDE⎢3.3B Identity Linkages        by TL1      ",Acxiom
103,Adality realTargeting Individual,,,,Adality
104,Adality realTargeting Onsite,,,,Adality
105,Adality realTargeting Premium,,,,Adality
106,Adapt Engage,,,,Adapt
107,Adapt Lead Builder,Lead Scoring,"B2B Data,Firmographic Data,Company Data","Leadbook B2B Contact Data Global Coverage, 200 Million Business Contacts (filtered and customized)        by Leadbook      ,Easyleadz B2B database research service for Indian b2b contacts - custom service        by EasyLeadz      ,B2B Leads Data | Ecommerce Leads Data - Reach Executives With Our Vast 100M+ Verified Business Records        by Blue Mail Media      ,【Cambodia】 B2B Database: B2B Contacts and Company Data; 20,886 Companies and 104,430 Contacts        by Biz Direct Asia      ",Adapt
108,Adapt Prospector,"Account-Based Marketing,,Lead Scoring","B2B Data,Company Data,B2B Intent Data","Lead411 Web Application & Chrome Extension        by Lead411      ,Mr. E by EasyLeadz [Download Chrome Extension] - Find direct mobile numbers of people in US, India, UK, Singapore and Global        by EasyLeadz      ,aKQired Global B2B Contact List, B2B Contact Data for ABM, Linkedin Prospecting, Business Owner List Building        by aKQired      ,PipeCandy Prospector - E-Commerce Leads in Europe, US & India for demand generation (50+ attributes)        by PipeCandy      ",Adapt
109,Adara Account Takeover,,,,Adara
110,Adara Booked Travel Data: US and International Trips,",Online and Social Media Performance Tracking,Behavioral Targeting","Marketing Attribution Data,Tourism Data","Adara In-Market Travel Data: US and International Trips        by Adara      ,International Email Checker API        by Matrixian Group      ,Adara’s Leisure Travel Data for US or International Trips        by Adara      ,International Trade Information        by Iberinform      ",Adara
111,Adara Display Advertising,,,,Adara
112,"Adara Experience Data | Concert Goers, Restaurant Goers, Sports Game Attendees, Theatre Goers",",Online and Social Media Performance Tracking,Behavioral Targeting","Sports & Entertainment Events Data,Hospitality Industry Data,Stock & Market Data","Restaurant Data - Connect With 250K+ Restaurant Owners, Executives, Operations With Ease.        by Blue Mail Media      ,US Restaurant POI dataset with metadata        by Geolytica      ,Automaton AI Restaurant Image (multi-camera CCTV data)        by Automaton AI      ,90 West Data - US Consumer Credit Card / Debit Card / Transaction Data - Restaurant Panel        by 90 West Data      ",Adara
113,Adara In-Market Travel Data: US and International Trips,,,,Adara
114,Adara New Account Origination,,,,Adara
115,"Adara Wealth and Homebuyer Data | Homeowners, Likely to Purchase a Home, Wealth Tiers, Credit Card Holders",",Online and Social Media Performance Tracking,Behavioral Targeting","Real Estate Data,Individual Data","Multimedia Lists - New Homeowners Database USA  (1 Million purchases)        by Multimedia Lists      ,New Mover Data on U.S. Consumers - Pre-movers, Homeowners At Listing, Homeowners Under Contract, Newly Moved Renters, Newly Moved Homeowners        by Speedeon Data      ,Vendigi's In-market Homebuyers        by Vendigi      ,TRAK Data - Full US Consumer Finance Data - Household Income, Wealth, Investments, Credit Card Behaviors, Insurance, Mortgage, Spending Habits        by TRAK Data      ",Adara
116,Adara's Business Travel Data for US or International Trips,",Online and Social Media Performance Tracking,Behavioral Targeting","Tourism Data,Aerospace Industry Data","Adara’s Leisure Travel Data for US or International Trips        by Adara      ,International Email Checker API        by Matrixian Group      ,Adara Booked Travel Data: US and International Trips        by Adara      ,International Trade Information        by Iberinform      ",Adara
117,Adara's Leisure Travel Data for US or International Trips,",Online and Social Media Performance Tracking,Behavioral Targeting","Tourism Data,Aerospace Industry Data","Adara’s Business Travel Data for US or International Trips        by Adara      ,International Email Checker API        by Matrixian Group      ,International Trade Information        by Iberinform      ,Adara Booked Travel Data: US and International Trips        by Adara      ",Adara
118,Adbrain Measure the Full Customer Journey,,,,Adbrain
119,Adbrain Target Audiences Across Daily Touchpoints,,,,Adbrain
120,AdDaptive Intelligence Account-Based Marketing,,,,AdDaptive Intelligence
121,AdDaptive Intelligence B2B Targeting,,,,AdDaptive Intelligence
122,AddressBase OS Linked Identifiers API,,,,AddressBase
123,AddressBase OS Names API,,,,AddressBase
124,AddThis Tools Follow Buttons,,,,AddThis
125,AddThis Tools List Building,,,,AddThis
126,AddThis Tools Share Buttons,,,,AddThis
127,Adello Mobile Marketing Platform,,,,Adello
128,Adfire Health Creativity,,,,Adfire Health
129,Adfire Health Data,,,,Adfire Health
130,ADmantX Advanced Contextual Targeting,,,,ADmantX
131,ADmantX Intelligence Brand Safety,,,,ADmantX
132,ADP Payroll,,,,ADP
133,ADP Time & Attendence,,,,ADP
134,AdRom Address Data,,,,AdRom
135,AdRom Qualified Leads,,,,AdRom
136,Adsmovil Personas,,,,Adsmovil
137,Adsquare Audience Targeting,,,,Adsquare Data Alliance
138,Adsquare Auidence Targeting,,,,Adsquare
139,Adsquare Data Alliance,,,,Adsquare Data Alliance
140,Adsquare Post-Campaign Footfall Measurement,,,,Adsquare Data Alliance
141,Adsquare Proximity Targeting,,,,Adsquare Data Alliance
142,Adsquare Proximity Targeting,,,,Adsquare
143,Adsquare Real-Time Footfall Measurement,,,,Adsquare Data Alliance
144,Adsquare Real-Time Footfall Measurement,,,,Adsquare
145,Adstra Attributes,,,,Adstra
146,Adstra Audiences,,,,Adstra
147,"Adstra Consumer | Consumer Data USA, Canada, Australia (232M individuals and 300 data elements)",,,,Adstra
148,"Adstra HCP | Healthcare Providers Data USA (most comprehensive coverage of nurses, physicians, dentists)","Targeted Marketing,","Demographic Data,Healthcare Data","Best Healthcare Solutions Provider | Healthcare Data | Physician Data by Infotanks Media        by Infotanks Media      ,Healthcare Providers Data | HCP Data | Verified Contacts of Healthcare Providers        by MedicoReach      ,Healthcare Data - Reach Physicians, Pharmacists, Hospitals and More With Our 9M+ Verified Healthcare Leads        by Blue Mail Media      ,Company Comprehensive API (UK) - B2B Data by DataGardener        by DataGardener      ",Adstra
149,Adstra Health | Healthcare Marketing Data USA 100% HIPAA compliant,,"Demographic Data,Healthcare Data,Consumer Lifestyle Data","Healthcare Marketing Data | B2b Healthcare leads | Healthcare Email List - MedicoReach        by MedicoReach      ,USA Healthcare Data for Multi channel marketing-Email-Phone-Direct Mail        by Thomson Data      ,Best Healthcare Solutions Provider | Healthcare Data | Physician Data by Infotanks Media        by Infotanks Media      ,Healthcare Data - Reach Physicians, Pharmacists, Hospitals and More With Our 9M+ Verified Healthcare Leads        by Blue Mail Media      ",Adstra
150,"Adstra Identity Graph | People Identity Data USA (HEM, MAID)",",Targeted Marketing","Identity Data,,Consumer Lifestyle Data,Cross-Device Identity Data","TrueData Identity Graph (UID2.0, HEM, Maid, AAID)        by TrueData      ,Identity Graph Data USA by Datastream Group (MAIDs matched to PII)        by Datastream Group      ,BDEX Identity Graph for Identity Resolution⎢USA⎢900M Identity Linkages        by BDEX      ,Zeotap People Identity Graph (High-Quality Audience Data)        by Zeotap      ",Adstra
151,Adstra Link2Me | | Persistent ID to match infinite attributes to US consumers (cloud platform),"Online and Social Media Performance Tracking,","Identity Data,Individual Data,Consumer Lifestyle Data","Lifesight Consumer Graph USA | Append 100+ Attributes from 300M+ Consumer Profiles        by Lifesight      ,Identity Graph Data USA by Datastream Group (MAIDs matched to PII)        by Datastream Group      ,Throtle - Consumer Data Intelligence USA with 150+ consumer attributes        by Throtle      ,FrescoData Direct Mail Marketing (Consumer Intent Based Attributes/Lifestyle Data)⎢Global Audiences, 10K+ Attributes        by FrescoData      ",Adstra
152,Adstra Orbits,,,,Adstra
153,Adstra Political | Voter Data USA of political affiliation and voting history,"Targeted Marketing,","Demographic Data,Political Poll Data,Political Data","Political Data | Voter Data - Run political campaigns easily - Thomson Data        by Thomson Data      ,Consumer data with socio-political attitudes        by Humatrics      ,Political Data - Connect with Voters, Fundraisers, Donors Through Marketing Campaigns        by Blue Mail Media      ,MBI Geodata - Political Risk Index on all countries in the world         by MBI Geodata      ",Adstra
154,Adstra Travel | In-Market Consumer Travel Data USA,"Targeted Marketing,","Marketing Attribution Data,Tourism Data,Individual Data","TravelIQ by AnalyticsIQ - Consumer Travel Data USA - 118M Households        by AnalyticsIQ      ,Adara In-Market Travel Data: US and International Trips        by Adara      ,Travel, Hotel and Flights Price Intelligence | Travel Data API        by Wersel Brand Analytics      ,X-Byte | Travel, Hotel and Flights Price Intelligence | Travel Data API        by X-Byte      ",Adstra
155,"Adstra Wealth | Affluent Consumers in the USA and their positions, passions, and possessions",,"Employment Data,,Individual Data","The Open People Search API for USA consumers and businesses        by Open People Search      ,Multimedia List wireless activation and reactivation data of consumers in the USA (120m consumers)         by Multimedia Lists      ,B2C Link - links business executive and their individual demographic data        by Data Axle      ,Adstra Caregivers | Caregiver Audience Data in the USA         by Adstra      ",Adstra
156,Advan GeoLocation Analytics,,,,Advan
157,Advera Health Analytics Evidex in Advanced Data Analytics,,,,Advera Health Analytics
158,Advera Health Analytics Evidex in Drug Safety Data & Service.,,,,Advera Health Analytics
159,Advera Health Analytics Evidex in Signal Detection,,,,Advera Health Analytics
160,Advisen Cyber Loss Data Loss Insight,,,,Advisen Cyber Loss Data
161,AeroLeads Email and Phone Finder Software,,,,AeroLeads
162,Affinity Answers Audience-Addressable TV,,,,Affinity Answers
163,Affinity Answers Auidence- Programatic,,,,Affinity Answers
164,Affinity Relationship Insights,,,,Affinity
165,Affinity Solutions For Financial Institutions,,,,Affinity Solutions
166,Affinity Solutions For Marketers,,,,Affinity Solutions
167,Africa Business Pages African Directories,,,,Africa Business Pages
168,African Economic & Financial Database (AFED),"Economic Forecasting,,Portfolio Management","Sports & Entertainment Events Data,Economic Data","Bank Rating Report for African Financial Institutions        by Capital Intelligence Ratings (CI Ratings)      ,EDI Global Economic Data (8 databases, 200 countries covered)         by Exchange Data International      ,FACTSET Market Data (Global Coverage) - Economic Data Sourced from 800+ Databases        by FACTSET      ,FirstRate Data - US Fundamental Data (Historical Financial Data for 30 Years Quarterly Financials for 5500 Tickers)        by FirstRate Data      ",African Financial & Economic Data
169,African Financial & Economic Data Country Profile,,,,African Financial & Economic Data
170,African Financial & Economic Data Hub,,,,African Financial & Economic Data
171,African Financial & Economic Data Sector Focus,,,,African Financial & Economic Data
172,African Markets Market Data,,,,African Markets
173,AfriSeek Business List & Database,,,,AfriSeek
174,AfriSeek Marketing System,,,,AfriSeek
175,AggData Dataset,,,,AggData
176,AggData Future Store Closings,,,,AggData
177,Aggregate Intelligence Data Intelligence for Airlines and Airports,,,,Aggregate Intelligence
178,Aggregate Intelligence Data Intelligence for the Hospitality Industry,,,,Aggregate Intelligence
179,Agricultural Data - Reach Decision Makers From Agricultural services Sector like Crop Production - Global Coverage - 100M+ Business Records.,"Lead Scoring,Account-Based Marketing,",Agriculture Data,"CropProphet Enterprise: Agricultural Yield & Production Data for USA, Brazil & Argentina        by CropProphet      ,Corn Agriculture (Raw & Annotated) data        by Automaton AI      ,CustomWeather 6-Month Agricultural Outlooks - Global - with Comprehensive Web Portal        by CustomWeather      ,HSAT Agricultural Data: Sugar Mapping, Health and Harvest Predictions (covers UK, France, China, Brazil, Indonesia)        by HSAT      ",Blue Mail Media
180,Agusto&Co Credit Rating,,,,Agusto&Co
181,Agusto&Co Market Intelligence (AMI),,,,Agusto&Co
182,AI Internet Data,"Supplier Risk,Portfolio Management,","Internet of Things (IoT) Data,IP Data","Location Data Feed USA & International by Datastream Group - (SDK.GPS daily feed, >30MM DAU)        by Datastream Group      ,International Email Checker API        by Matrixian Group      ,International Data | Global B2B Data |  Email Listing Services by Infotanks Media        by Infotanks Media      ,International Trade Information        by Iberinform      ",AT Internet
183,Aihit Datasets,,,,Aihit
184,Aihit REST API,,,,Aihit
185,AimMatic Replyfast,,,,AimMatic
186,Air Pollution Data API for Europe & USA by Breezometer,",Online Recommendation Engine,Product Performance Forecasting",Environmental Data,"Airbtics - Airbnb Data - Business KPI Tracker for Europe, North & South America, Oceania        by Airbtics      ,Ambee: Air Quality Data API - Global Coverage, Real-Time Delivery, 1M+ Postcodes        by Ambee      ,Aviation Edge - Global Airline Routes API - Passive Airline Route Data        by Aviation Edge      ,X-Byte | Global Travel and Tourism data in Real-Time API (Hotels, Airlines, Cruises, Car Rentals)        by X-Byte      ",BreezoMeter
187,Airborne Launch Assist Space Access Program,,,,Airborne Launch Assist Space Access
188,AirDNA Data Short-Term Rental Research,,,,AirDNA
189,AirDNA Data-Driven Dynamic Pricing,,,,AirDNA
190,Airnow PLC Mobile App Data,,,,Airnow PLC
191,Airports Council International Health Measures Portal,,,,Airports Council International
192,Airports Council International Virtual Training Calendar,,,,Airports Council International
193,AirQuality Data Commons AQDC Platform,,,,Air Quality Data Commons
194,Airsage Nationwide Trip Matrix,,,,Airsage
195,Airsage Property Footfall,,,,Airsage
196,Airsage Tourism & Hospitality,,,,Airsage
197,AISHub AIS Decoder,,,,AISHub
198,AISHub AIS Dispatcher,,,,AISHub
199,Al Etihad Credit Bureau Credit Report,,,,Al Etihad Credit Bureau
200,Al Etihad Credit Bureau Credit Score,,,,Al Etihad Credit Bureau
201,Alation Data Platform,,,,Alation
202,Alexa Data,,,,Alexa
203,Alexandria Data Consulting,,,,Alexandria Data
204,Alexandria Data Point of Sale Solutions,,,,Alexandria Data
205,Algerian Chamber of Commerce and Industry Trade Events,,,,Algerian Chamber of Commerce and Industry
206,Algoseek Equity Security Master File,,,,Algoseek
207,AlgoSeek Futures Trade and Quote data US coverage - historic data till 2010,,Stock & Market Data,"AlgoSeek Equity Trade and Quote Minute Bar US coverage        by AlgoSeek      ,Historical Futures Trade and Quote Data (Europe, China, USA & Canada covered)⎢Olsen Data        by Olsen Data      ,AlgoSeek Equity Trade and Quote Data US coverage - nanosecond timestamps since 2016        by AlgoSeek      ,EDI Historical End-of-Day Pricing Data with global coverage (13 years history)         by Exchange Data International      ",Algoseek
208,Algoseek Primary Exchange OHLC,,,,Algoseek
209,Algoseek Trade & Quote (TAQ) Minute Bars,,,,Algoseek
210,AlikeAudience Research,,,,AlikeAudience
211,AlikeAudience Success Story,,,,AlikeAudience
212,AllData Diagnostics,,,,AllData
213,AllData Repair,,,,AllData
214,AllTheRooms Solutions for Property Managers,,,,AllTheRooms
215,AllTheRooms Solutions for Vacations Rental Hosts,,,,AllTheRooms
216,AllTheRooms Solutions for Vacations Rental Investors,,,,AllTheRooms
217,Alpha Hat Data Bites,,,,Alpha Hat
218,Alpha Hat Solutions for Consumer Brands,,,,Alpha Hat
219,Alpha Hat Solutions for Financial Services,,,,Alpha Hat
220,Alpha Vertex Alpha Signal,,,,Alpha Vertex
221,Alpha Vertex Alta,,,,Alpha Vertex
222,Alpha Vertex Precog,,,,Alpha Vertex
223,AlphaBBL Oil Storage Data,,,,AlphaBBL
224,Alphamatician Datasets in Hiring & Employment,,,,Alphamatician
225,Alphamatician Datasets in Social Media,,,,Alphamatician
226,AlphaSense Search Engine for Corporates,,,,AlphaSense
227,AlphaSense Search Engine for Financial Firms,,,,AlphaSense
228,Alphonso Local TV Ad Insights,,,,Alphonso
229,Alphonso National TV Ad Insights,,,,Alphonso
230,"Alqami Airport Landing Slot Data UK, Canada, New Zealand | Passenger & Freight with 25 years history",,"Economic Data,Company Data,Aerospace Industry Data","FinPricing Inflation Curve Data Feed API - USA, UK, Canada, Australia, New Zealand        by FinPricing      ,Alqami Vegan Food Product Data Global (2 years history, daily frequency)        by Alqami      ,Quant IP Patent and Innovation Metrics for 400k companies, 25+ years history        by Quant IP      ,Dow Jones Newswires - USA news data by Accern (real-time, 30+ metrics, 14 years history)        by Accern      ",Alqami
231,Alqami Data Directory,,,,Alqami
