,Name of the dataset,similar
29,Coastwide Reference Monitoring System (CRMS) 2016 Site 3913 land-water classification data,"Coastwide Reference Monitoring System (CRMS) 2016 Site 0514 land-water classification data
Coastwide Reference Monitoring System (CRMS) 2016 Site 0241 land-water classification data
Coastwide Reference Monitoring System (CRMS) 2016 Site 4014 land-water classification data
Coastwide Reference Monitoring System (CRMS) 2016 Site 0386 land-water classification data
Coastwide Reference Monitoring System (CRMS) 2016 Site 0381 land-water classification data"
30,CTD_DATABASE - Cascadia tsunami deposit database,"R/V GYRE cruise G1-99-GM (99002) multi channel seismic tracklines (GOM99LMCS.SHP)
MCMASTER60_PROJECT: Sediments of Narragansett Bay
Isopach of Holocene fluvial and estuarine (Qfe) sediment and nearshore marine (Qmn) sediment thickness beneath Buzzards Bay, Massachusettts (Qfeqmniso, Esri binary grid, UTM, Zone 19N, WGS 84)
KP_250M_LCC_WGS84.TIF - Kingman Reef and Palmyra Atoll U.S. EEZ GLORIA sidescan-sonar composite mosaic (LCC, 250 m, WGS84)
Coastwide Reference Monitoring System (CRMS) 2005, 2008, 2012, and 2016 Site 0237 land-water matrix"
31,"Airborne geophysical survey: Wendel, California","Airborne geophysical survey: Mokelume, California
Airborne geophysical survey: La Panza Range, California
Airborne geophysical survey: Martis Creek, California
Airborne geophysical survey: Kern (Domeland), California
Airborne geophysical survey: Crescent City, California"
32,Campaign GPS measurements on the Island of Hawai`i collected by the Hawaiian Volcano Observatory in 2019,"Oahu Island Hawaiian stilt GPS satellite tracking data, 2017-2018
Images from Hurricane Hole, Virgin Islands Coral Reef National Monument, 2017 to 2019
Rat mark-recapture plot-area data in Hawaii Volcanoes National Park from 2015-2017
Hawaii Island Environmental Sampler Comparison 2016-2018
Multichannel minisparker seismic-reflection data of USGS field activity 2018-645-FA collected in the Santa Barbara Channel in July of 2018"
33,"AA_Q05.TIF - Aleutian Arc U.S. EEZ GLORIA sidescan-sonar data mosaic (5 of 31) (LCC, 50 m, WGS84)","AA_Q06.TIF - Aleutian Arc U.S. EEZ GLORIA sidescan-sonar data mosaic (6 of 31) (LCC, 50 m, WGS84)
AA_Q27.TIF - Aleutian Arc U.S. EEZ GLORIA sidescan-sonar data mosaic (27 of 31) (LCC, 50 m, WGS84)
AA_Q01.TIF - Aleutian Arc U.S. EEZ GLORIA sidescan-sonar data mosaic (1 of 31) (LCC, 50 m, WGS84)
AA_Q25.TIF - Aleutian Arc U.S. EEZ GLORIA sidescan-sonar data mosaic (25 of 31) (LCC, 50 m, WGS84)
AA_Q30.TIF - Aleutian Arc U.S. EEZ GLORIA sidescan-sonar data mosaic (30 of 31) (LCC, 50 m, WGS84)"
34,LANDFIRE Remap Forest Canopy Base Height (CBH) American Samoa,"LANDFIRE Remap Forest Canopy Base Height (CBH) Marshall Islands
LANDFIRE Remap Forest Canopy Base Height (CBH) HI
LANDFIRE Remap Forest Canopy Cover (CC) Micronesia
LANDFIRE Remap Forest Canopy Cover (CC) HI
LANDFIRE Remap 2016 National Vegetation Classification (NVC) Guam Northern Mariana Islands"
35,"0.5-m Bathymetry from National Oceanic and Atmospheric Administration (NOAA) Survey H11077 of the Sea Floor in the Vicinity of Woods Hole, Massachusetts (H11077_0.5MUTM19_XYZ.TXT, UTM Zone 19)","0.5-m Stretched Grayscale Image of the Sidescan-Sonar Data From National Oceanic and Atmospheric Administration (NOAA) Survey H11077 of the Sea Floor in the Vicinity of Woods Hole, Massachusetts (H11077_SSS100_UTM19.TIF, UTM Zone 19)
5 meter ArcRaster grid (gaps filled) of bathymetry acquired using a SEA Ltd. SWATHplus interferometric sonar offshore of Massachusetts within northern Cape Cod Bay (CCB_BATH_F Esri BINARY GRID, UTM Zone 19N).
5-m interval contours of smoothed multibeam bathymetry of Massachusetts Bay (MB_5MCTR9X9.SHP, Geographic, NAD83)
5-meter contours produced from bathymetric data collected by the U.S. Geological Survey off the southern shore of Martha's Vineyard, MA, 2007 (ESRI POLYLINE SHAPEFILE, CON_5M)
25-m Bathymetric Grid of National Oceanic and Atmospheric Administration (NOAA) Survey H11346 in the Vicinity of Edgartown Harbor, Massachusetts (H11346_GEO25, Geographic, WGS84)"
36,Coastwide Reference Monitoring System (CRMS) 2016 Site 2991 land-water classification data,"Coastwide Reference Monitoring System (CRMS) 2016 Site 4809 land-water classification data
Coastwide Reference Monitoring System (CRMS) 2016 Site 0381 land-water classification data
Coastwide Reference Monitoring System (CRMS) 2016 Site 0148 land-water classification data
Coastwide Reference Monitoring System (CRMS) 2016 Site 0173 land-water classification data
Coastwide Reference Monitoring System (CRMS) 2016 Site 0192 land-water classification data"
37,1992 County Pesticide Use Estimates for 200 Compounds,"Seismic Shotpoint Navigation: USF 100-shot shotpoint navigation of seismic data collected in the Pulley Ridge area in 1996 and 2001
Chirp Seismic Shotpoint Navigation every 100 shots in Geographic Coordinates - Lake Mead Survey 2000
Point Shapefile with a Point Every 100 meters Along the Neuse River 2004 Resistivity Survey Tracklines
Shot point navigation at 100 shot intervals for EdgeTech SB-512i chirp seismic-reflection data collected by the U.S. Geological Survey off the southern shore of Martha's Vineyard, MA, 2007 (ESRI POINT SHAPEFILE, SEISMIC_100SHT.SHP).
Attributes for NHDPlus Version 2.1 Catchments and Modified Routing of Upstream Watersheds for the Conterminous United States: 30 Year (1971 - 2000) Mean Annual Maximum Temperature (Celsius) from 800m PRISM data"
38,"Boomer trackline navigation collected by the U.S. Geological Survey within the St. Clair River between Michigan and Ontario, Canada, 2008 (ESRI VECTOR SHAPEFILE, 08016_Boomer_TRK.SHP)","Elevation of the top of Quaternary glacial drift within the St. Clair River between Michigan and Ontario, Canada, 2008 (ESRI GRID, QdU)
Seismic Reflection, boomer tracklines collected in the vicinity of Buffalo Reef, Michigan, within Lake Superior, during USGS field activity 2018-043-FA, (Esri polyline shapefile, GCS WGS 84)
Quaternary Geologic Map of the Lake Superior 4deg x 6deg Quadrangle, United States and Canada
Seismic Reflection, Boomer profile images collected in the vicinity of Buffalo Reef, Michigan, within Lake Superior,during USGS field activity 2018-043-FA, (PNG Images)
USGS National and Global Oil and Gas Assessment Project - Michigan Basin Province, Collingwood Shale and Utica Shale Formations Assessment Unit Boundaries and Assessment Input Data Forms"
39,"Processed continuous resistivity profile data collected in Manhasset Bay on Long Island, New York on May 15, 2008","Raw and modified raw continuous resistivity profile data collected by the U.S. Geological Survey in Great South Bay on Long Island, New York, on Sept. 25, 2008
Geospatial datasets of AUV observations including bottom dissolved oxygen in Great South Bay, Long Island, New York, August 2016
Navigation, bathymetry, and water temperature points of ship position during continuous resistivity profile data collection by the U.S. Geological Survey in Great South Bay on Long Island, New York, in May and September 2008 (RESGPSPNTS_GSBAY.SHP)
Offshore baseline for Long Island coastal region generated to calculate shoreline change rates for the Long Island region from Montauk Point to the entrance of Raritan Bay, New York (LongIsland_baseline.shp)
Georeferenced scans of National Oceanic and Atmospheric Administration (NOAA) topographic sheets (T-Sheets) Collected Along the Fire Island and Great South Bay, New York, Coastline from 1834-1875"
40,"Map Service Showing Geology, Oil and Gas Fields, and Geological Provinces of Iran","Geochemical and geochronologic data from the Stillwater Range, Clan Alpine, and Desatoya Mountains, Nevada
USGS National Assessment of Oil and Gas Project - Uinta-Piceance Province, Mancos Formation Assessment Units
USGS National and Global Oil and Gas Assessment Project-Permian Basin Province, Val Verde Basin, Canyon Sandstones Assessment Units
Geologic map of the Vermejo Park quadrangle, Colfax County, New Mexico, and Las Animas County, Colorado
Data to accompany U.S. Geological Survey Fact Sheet 2020-3017: Pyrrhotite distribution in the conterminous United States"
41,"Survey lines along which EdgeTech 512i chirp seismic-reflection data were collected by the U.S. Geological Survey in the Cape Ann - Salisbury Beach, MA survey area (SEISMICTRACKLINE, Geographic, WGS84)","PNG formatted images of EdgeTech SB-424 seismic-reflection profiles collected by the U.S. Geological Survey -Woods Hole Coastal and Marine Science Center offshore of the Elizabeth Islands, MA, 2010.
Surficial Sediment Data Collected During U.S. Geological Survey (USGS) Cruise R/V RAFAEL 08012 in the Vicinity of Edgartown Harbor, Offshore Martha's Vineyard, Massachusetts (RAFA08012_SEDDATA.SHP)
PNG formatted images of Edgetech SB-512i chirp seismic-reflection profiles collected by the U.S. Geological Survey along the Delmarva Peninsula, MD and VA, 2014
JPEG formatted images of EdgeTech SB-512i chirp seismic-reflection profiles collected in Buzzards Bay by the U.S. Geological Survey offshore of Massachusetts in 2009, 2010, and 2011.
PNG formatted images of EdgeTech SB-512i seismic-reflection profiles collected by the U.S. Geological Survey - St. Petersburg Coastal and Marine Science Center offshore of the Gulf Islands, MS, 2010."
42,"EAARL-B Submerged TopographyaEUR""Saint Thomas, U.S. Virgin Islands, 2014","EAARL-B Submerged Topography-Saint Croix, U.S. Virgin Islands, 2014
Uncalibrated EAARL-B Submerged Topography--Fort Lauderdale, Florida, 2014 (GEOID12A)
shoreline, inletLines: Shoreline polygons and tidal inlet delineations: Monomoy Island, MA, 2014
shoreline, inletLines: Shoreline polygons and tidal inlet delineations: Cedar Island, VA, 2014
Calibrated EAARL-B Submerged Topography--Fort Lauderdale, Florida, 2014 (WGS84)"
43,Seismic Shotpoint Navigation: USF 100-shot shotpoint navigation of seismic data collected in the Pulley Ridge area in 1996 and 2001,"Shot point navigation at 100 shot intervals for EdgeTech SB-512i chirp seismic-reflection data collected by the U.S. Geological Survey off the southern shore of Martha's Vineyard, MA, 2007 (ESRI POINT SHAPEFILE, SEISMIC_100SHT.SHP).
Chirp Seismic Shotpoint Navigation every 100 shots in Geographic Coordinates - Lake Mead Survey 2000
Point Shapefile with a Point Every 100 meters Along the Neuse River 2004 Resistivity Survey Tracklines
CoSMoS (Coastal Storm Modeling System) Southern California v3.0 Phase 2 flood-hazard depth and duration projections: 100-year storm in San Diego County
Shot Points at 500 shot intervals for seismic data collected aboard R/V RAFAEL (field activities 05001 and 06001) in Apalachicola Bay and St. George Sound, FL (SeismicShot500)"
44,"Coral bleaching data by site, West Hawaii, 2010-2011","Coral species and size data by transect, West Hawaii, 2011
HW1_Q10.TIF - Hawaii I - Southeastern Hawaiian Ridge U.S. EEZ GLORIA sidescan-sonar data mosaic (10 of 29) (LCC, 50 m, WGS84)
molo_ero - Erosion Hazard Intensity Level in the coastal zone of Molokai, Hawaii
July 2010 Dauphin Island USGS EAARL Lidar-Derived Dune Crest, Toe and Shoreline
HW1_Q26.TIF - Hawaii I - Southeastern Hawaiian Ridge U.S. EEZ GLORIA sidescan-sonar data mosaic (26 of 29) (LCC, 50 m, WGS84)"
45,Conservation Planning for the Colorado River in Utah - Overbank flow 2011 for Potential for Natural Recovery Model,"Conservation Planning for the Colorado River in Utah - Potential for Natural Recovery Model Model Output Data for Colorado River in Utah
Conservation Planning for the Colorado River in Utah - Density of Native Species for Potential for Natural Recovery Model
Conservation Planning for the Colorado River in Utah - General Diversity Model Output Data for Colorado River in Utah
Conservation Planning for the Colorado River in Utah - Riparian Understory Model Output Data for Colorado River in Utah
Conservation Planning for the Colorado River in Utah - Vegetation and River Cover Types"
46,Predicted minimum flow coefficient of variation (CV) for small streams in the Upper Colorado River Basin under historic hydrologic conditions.,"Soil-Water Balance Groundwater Recharge Model Results for the Lower Colorado River Basin
Dreissenid mussel eDNA results for streamgage water samples in the Columbia and Colorado River basin
Conservation Planning for the Colorado River in Utah - Riparian Understory Model Output Data for Colorado River in Utah
Water Quality, Streamflow Gain Loss, Geologic, and Geospatial Data Used in the Pecos River Basin Salinity Assessment from Santa Rosa Lake, New Mexico to the Confluence of the Pecos River and the Rio Grande, 1900-2015
Velocity profiles and river discharge for cross sections on the Arkansas and South Platte Rivers in Colorado and the Salcha and Tanana Rivers in Alaska"
47,"Bathymetry and Storage Capacity of Gillham Lake, Arkansas","Bathymetric Contours for Lake Minnewashta, Dickinson County, Iowa
Bathymetric survey data of the Black River from Poplar Bluff, Missouri, to Pocahontas, Arkansas
Geodatabase containing bathymetric and LiDAR data for Norfork Lake, Arkansas-Missouri, 2015.
Bathymetric Grid for a Wave Exposure Model of Grand Bay, Mississippi
Predicted minimum flow coefficient of variation (CV) for small streams in the Upper Colorado River Basin under historic hydrologic conditions."
48,Shaded-relief GeoTIFF image of a portion of Cape Cod and the surrounding sea floor,"Physiographic Zones of the Sea Floor from Nahant to Northern Cape Cod Bay, Massachusetts (NAH_CCB_Pzones polygon shapefile, Geographic WGS 84)
Defined Map Units of the seafloor of Boston Harbor and Approaches (BOTTOMTYPE, UTM 19, WGS84)
Onshore/offshore baseline for the Outer Cape Cod coastal region generated to calculate shoreline change rates from Long Point in Provincetown to Monomoy Island (OuterCapeCod_baseline.shp)
Bottom sample analysis and locations in the vicinity of the Woods Hole Oceanographic Institution, Martha's Vineyard Coastal Observatory (ESRI POINT SHAPEFILE, SAMPLES)
A Surficial Hydrogeologic Framework for the Mid-Atlantic Coastal Plain"
