,Name of the dataset,similar
10,BLM REA YKL 2011 CL C AlaskaSummerTotalPPT A2,"BLM REA YKL 2011 CL L AlaskaSummerTotalPPT A2
BLM REA YKL 2011 CL C AlaskaWinterTotalPPT A2
BLM REA YKL 2011 CL N AlaskaSummerTotalPPT A2
BLM REA YKL 2011 CL L AlaskaWinterTotalPPT A2
BLM REA YKL 2011 CL N AlaskaWinterTotalPPT A2"
11,"BLM REA YKL 2011 Subsistence Harvest Areas of Moose in Chuathbaluk, Alaska.","BLM REA YKL 2011 Subsistence Harvest Areas of Moose in Anvik, Alaska.
BLM REA YKL 2011 Subsistence Harvest Areas of Moose in Aniak, Alaska.
BLM REA YKL 2011 Subsistence Harvest Areas of Moose in Takotna, Alaska.
BLM REA YKL 2011 Subsistence Harvest Areas of Moose in Iliamna, Alaska.
BLM REA YKL 2011 Subsistence Harvest Areas of Moose in Nulato, Alaska."
12,BLM OR Hydrography 17110003 Waterbodies Polygon,"BLM OR Hydrography 17110002 Waterbodies Polygon
BLM OR Hydrography 17110004 Waterbodies Polygon
BLM OR Hydrography 17110009 Waterbodies Polygon
BLM OR Hydrography 17110007 Waterbodies Polygon
BLM OR Hydrography 17110005 Waterbodies Polygon"
13,BLM REA YKL 2011 CL C AlaskaSummerTotalPPT A1B,"BLM REA YKL 2011 CL L AlaskaSummerTotalPPT A1B
BLM REA YKL 2011 CL N AlaskaSummerTotalPPT A1B
BLM REA YKL 2011 CL C AlaskaWinterTotalPPT A1B
BLM REA YKL 2011 CL L AlaskaWinterTotalPPT A1B
BLM REA YKL 2011 CL N AlaskaWinterTotalPPT A1B"
14,"BLM REA YKL 2011 Subsistence Harvest Areas of Brown Bear in Takotna, Alaska.","BLM REA YKL 2011 Subsistence Harvest Areas of Brown Bear in Newhalen, Alaska.
BLM REA YKL 2011 Subsistence Harvest Areas of Brown Bear in McGrath, Alaska.
BLM REA YKL 2011 Subsistence Harvest Areas of Brown Bear in Nondalton, Alaska.
BLM REA YKL 2011 Subsistence Harvest Areas of Black Bear in Takotna, Alaska.
BLM REA YKL 2011 Subsistence Harvest Areas of Black Bear in Nondalton, Alaska."
15,BLM REA NWP 2011 RegCM3 July/August Precipitation (1980-1999),"BLM REA MIR 2011 RegCM3 July/August Precipitation (1980-1999)
BLM REA NWP 2011 RegCM3 July/August Temperature (1980-1999)
BLM REA MIR 2011 RegCM3 July/August Temperature (1980-1999)
BLM REA NWP 2011 RegCM3 May/June Precipitation (1980-1999)
BLM REA NWP 2011 RegCM3 September/October Precipitation (1980-1999)"
16,BLM REA CYR 2013 Near-term Future Pipelines in the Central Yukon,"BLM REA CYR 2013 Pipelines in the Central Yukon
BLM REA CYR 2013 Near-Term Future (2025) Landscape Integrity Minimum Reserve in the Central Yukon Study Area
BLM REA CYR 2013 Near-Term Future (2025) Landscape Integrity in the Central Yukon study area
BLM REA CYR 2013 Pipeline Permits in the Central Yukon
BLM REA CYR 2013 Near-term (2020s) Cumulative Impacts in the Central Yukon study area"
17,BLM CA Completed Vegetation Treatment Area Polygons,"BLM Completed Vegetation Treatment Area Polygons
Completed Vegetation Treatments (POLYGON)
BLM WA SJINMRMP Succession Clipped to Vegetation DRAFT Line
BLM OR SEORMP FEIS Current Vegetation Classes Raster
BLM REA NWP 2011 Potentially suitable soil types for Leafy Spurge"
18,BLM OR Hydrography 17070307 Point,"BLM OR Hydrography 17070306 Point
BLM OR Hydrography 17070303 Point
BLM OR Hydrography 17070305 Point
BLM OR Hydrography 17070203 Point
BLM OR Hydrography 17070302 Point"
19,"BLM AZ National Landscape Conservation System (NLCS) National Monuments (NM), National Conservation Areas (NCA), & Similar Designations Data","National Landscape Conservation System (NLCS) National Monuments (NM), National Conservation Areas (NCA), & Similar Designations Data
BLM AZ National Landscape Conservation System (NLCS) National Scenic & Historic Trails (NSHT) KMZ and Layer Package
BLM NLCS National Monuments, National Conservation Areas and Similar Designations Polygons
BLM CA NLCS National Monuments, National Conservation Areas and Similar Designations Polygons
BLM AZ NLCS Wilderness Areas (WLD) & Wilderness Study Areas (WSA) KMZ and Layer Package"
20,"BLM REA YKL 2011 Subsistence Harvest Areas of Sheefish in Lower Kalskag, Alaska.","BLM REA YKL 2011 Subsistence Harvest Areas of Sheefish in Upper Kalsakg, Alaska.
BLM REA YKL 2011 Subsistence Harvest Areas of Sheefish in Aniak, Alaska.
BLM REA YKL 2011 Subsistence Harvest Areas of Sheefish in Chuathbaluk, Alaska.
BLM REA YKL 2011 Subsistence Harvest Areas of Sheefish in Anvik, Alaska.
BLM REA YKL 2011 Subsistence Harvest Areas of Sheefish in Nulato, Alaska."
21,"BLM REA YKL 2011 Subsistence Harvest Areas of Beaver in Aniak, Alaska.","BLM REA YKL 2011 Subsistence Harvest Areas of Beaver in Takotna, Alaska.
BLM REA YKL 2011 Subsistence Harvest Areas of Beaver in Chuathbaluk, Alaska.
BLM REA YKL 2011 Subsistence Harvest Areas of Beaver in Upper Kalsakg, Alaska.
BLM REA YKL 2011 Subsistence Harvest Areas of Beaver in Nulato, Alaska.
BLM REA YKL 2011 Subsistence Harvest Areas of Beaver in McGrath, Alaska."
22,BLM OR Hydrography 17010308 Polygon,"BLM OR Hydrography 17010307 Polygon
BLM OR Hydrography 17010306 Polygon
BLM OR Hydrography 17020008 Polygon
BLM OR Hydrography 17010303 Polygon
BLM OR Hydrography 17120008 Polygon"
23,BLM REA CYR 2013 Current Mining Density in the Central Yukon,"BLM REA CYR 2013 Locations of Active Mines in Central Yukon
BLM REA CYR 2013 Locations of Historic Mines in Central Yukon
BLM REA CYR 2013 Oil and Gas Basins in the Central Yukon
BLM REA CYR 2013 Current Railroads in the Central Yukon
BLM REA CYR 2013 Pipelines in the Central Yukon"
24,BLM REA YKL 2011 5th Level Hydrologic Units in the Yukon River Lowlands - Kuskokwim Mountains - Lime Hills,"BLM REA YKL 2011_2011 5th Level Hydrologic Units that contain subsistance communities in the Yukon River Lowlands - Kuskokwim Mountains - Lime Hills
BLM REA YKL 2011 Current Landscape Condition per 5th Level Hydrologic Unit in the Yukon River Lowlands - Kuskokwim Mountains - Lime Hills
BLM REA YKL 2011 Watershed Boundary Dataset Alaska: 5th Level Hydrologic Units
BLM REA CYR 2013 Watershed Boundary Dataset Alaska: 5th Level Hydrologic Units
BLM REA CYR 2013 Watershed Boundary Dataset Alaska: 5th Level Hydrologic Units Alaska"
25,BLM REA YKL 2011 CL N SnowDayFraction November A2,"BLM REA YKL 2011 CL L SnowDayFraction November A2
BLM REA YKL 2011 CL C SnowDayFraction November A2
BLM REA YKL 2011 CL N SnowDayFraction October A2
BLM REA YKL 2011 CL L SnowDayFraction October A2
BLM REA YKL 2011 CL C SnowDayFraction October A2"
26,BLM REA NWP 2011 DV C 50m wind NREL,"BLM REA MIR 2011 DV C 50m Wind NREL
BLM REA YKL 2011 YKL DV C Alaska WindPower 50m height.img
BLM REA COP 2010 Wind Power Density (W divided by m2) at 50 Meters Above Ground Level
BLM WA SJINMRMP BLM Shoreline 50 Meter Buffer Draft Polygon
BLM REA COP 2010 5th Code HUC Reporting Units Grid (30m)"
27,BLM REA CYR 2013 Public Boat Launches in the Central Yukon Study Area,"BLM REA CYR 2013 Road Accessible Lakes in the Central Yukon study area
BLM REA CYR 2013 Hydrographic Area of Influence for the Central Yukon Study Area
BLM REA CYR 2013 Secondary Roads in the Central Yukon Study Area
BLM REA CYR 2013 Community Footprints in the Central Yukon study area
BLM REA CYR 2013 Community Locations in the Central Yukon Study Area"
28,BLM OR Hydrography 16040201 Flowlines Lines,"BLM OR Hydrography 16040201 Point
BLM OR Hydrography 17070201 Flowlines Lines
BLM OR Hydrography 17050201 Flowlines Lines
BLM OR Hydrography 17070301 Flowlines Lines
BLM OR Hydrography 17010303 Flowlines Lines"
29,BLM REA NWP 2011 RegCM3 Change in November - February Precipitation (Current to Future),"BLM REA MIR 2011 RegCM3 Change in November - February Precipitation (Current to Future)
BLM REA NWP 2011 RegCM3 Change in November - February Temperature (Current to Future)
BLM REA MIR 2011 RegCM3 Change in November - February Temperature (Current to Future)
BLM REA NWP 2011 RegCM3 November - February Precipitation (2050-2069)
BLM REA MIR 2011 RegCM3 November - February Precipitation (2050-2069)"
30,BLM REA NWP 2011 AE C Aquatic Ecosystem Threats Natural Landcover,"BLM REA NWP 2011 AE C Aquatic Ecosystem Threats Ag
BLM REA NWP 2011 AE C Aquatic Ecosystem Threats Ag in Riparian Corridor
BLM REA NWP 2011 AE C Aquatic Ecosystem Threats Population in SqKm
BLM REA NWP 2011 AE C Aquatic Ecosystem Threats Number of TRI Sites
BLM REA NWP 2011 AE C Aquatic Ecosystem Threats Imperviousness with Natural Landcover"
31,BLM REA COP 2010 Land-Based Recreation Areas,"BLM REA COP 2010 Land-Based Recreation Travel Corridors
BLM REA COP 2010 Recreation Sites
BLM REA COP 2010 USFS Manti LaSal Recreation Sites
BLM REA COP 2010 Habitat Connectivity Cost Surface
BLM REA COP 2010 TNC Conservation Areas"
32,"BLM REA YKL 2011 Subsistence Harvest Areas of Caribou in Aniak, Alaska.","BLM REA YKL 2011 Subsistence Harvest Areas of Caribou in Newhalen, Alaska.
BLM REA YKL 2011 Subsistence Harvest Areas of Caribou in Iliamna, Alaska.
BLM REA YKL 2011 Subsistence Harvest Areas of Caribou in Chuathbaluk, Alaska.
BLM REA YKL 2011 Subsistence Harvest Areas of Caribou in McGrath, Alaska.
BLM REA YKL 2011 Subsistence Harvest Areas of Caribou in Upper Kalsakg, Alaska."
33,BLM REA CYR 2013 Current (2010s) Summer Warmth Index in Upland Mesic Spruce-hardwood Forest,"BLM REA CYR 2013 Current (2010s) Summer Warmth Index in Upland Mesic Spruce Forest
BLM REA CYR 2013 Long-term Future (2060s) Summer Warmth Index in Upland Mesic Spruce-hardwood Forest
BLM REA CYR 2013 Current (2010s) Summer Warmth Index in Upland Low and Tall Shrub Tundra
BLM REA CYR 2013 Current (2010s) Summer Warmth Index in Alpine Dwarf Shrub Tundra
BLM REA CYR 2013 Long-term Future (2060s) Summer Warmth Index in Upland Mesic Spruce Forest"
34,BLM OR Hydrography 17070202 Point,"BLM OR Hydrography 17070203 Point
BLM OR Hydrography 17070302 Point
BLM OR Hydrography 17070201 Point
BLM OR Hydrography 17070102 Point
BLM OR Hydrography 17070204 Point"
35,BLM OR Hydrography 17100103 Polygon,"BLM OR Hydrography 17100102 Polygon
BLM OR Hydrography 17100104 Polygon
BLM OR Hydrography 17120003 Polygon
BLM OR Hydrography 17110003 Polygon
BLM OR Hydrography 17100105 Polygon"
36,BLM REA YKL 2011 CL L MeanJanuaryTemp2050s A2,"BLM REA YKL 2011 CL L MeanJulyTemp2050s A2
BLM REA YKL 2011 PF L MeanAnnualGroundTemp2050s A2
BLM REA YKL 2011 PF L ActiveLayerThickness2050s A2
BLM REA YKL 2011 CL L MeanJanuaryTemp2050s A1B
BLM REA YKL 2011 CL N MeanJanuaryTemp A2"
37,BLM REA COP 2010 AT C RdStrmInt DN HUC5 poly,"BLM REA COP 2010 AT C UtilLn DN HUC5 poly
BLM REA COP 2010 AT C IV DN HUC5 poly
BLM REA COP 2010 AT C GTLF DN HUC5 poly
BLM REA COP 2010 AT C POD DN HUC5 poly
BLM REA COP 2010 AT L VegChange HUC5 poly"
38,BLM REA YKL 2011 Change in Length of Growing Season from the 2010s to the 2060s in Willow Habitat in the Yukon River Lowlands - Kuskokwim Mountains - Lime Hills,"BLM REA YKL 2011 Change in Length of Growing Season from the 2010s to the 2060s in the Yukon River Lowlands - Kuskokwim Mountains - Lime Hills
BLM REA YKL 2011 Change in Length of Growing Season from the 2010s to the 2060s in Modeled Olive-Sided Flycatcher Habitat in the Yukon River Lowlands - Kuskokwim Mountains - Lime Hills
BLM REA YKL 2011 Long-Term Future (2060) Landscape Condition Status in Current Willow Habitat in the Yukon River Lowlands - Kuskokwim Mountains - Lime Hills
BLM REA YKL 2011 Change in Length of Growing Season from the 2010s to the 2060s in Modeled Peregrine Falcon Habitat in the Yukon River Lowlands - Kuskokwim Mountains - Lime Hills
BLM REA YKL 2011 Long-Term Future (2060) Landscape Condition Status in Current Distribution of Deciduous Forest in the Yukon River Lowlands - Kuskokwim Mountains - Lime Hills"
39,BLM REA NWP 2011 Prairie Potholes current status,"BLM REA NWP 2011 Prairie Pothole Wetlands distribution
BLM REA NWP 2011 Prairie Potholes rating based on perimeter to area ratio
BLM REA NWP 2011 Riparian areas in the Northwest Plains Ecoregion
BLM REA NWP 2011 grasslands in the northwest plains ecoregion
BLM REA NWP 2011 Prairie Potholes current status by 6th level HUC"
40,BLM REA CYR 2013 Trumpeter Swan Potential Breeding Habitat,"BLM REA CYR 2013 Tundra Swan Potential Breeding Habitat
BLM REA CYR 2013 Current (2015) Landscape Condition within Trumpeter Swan Potential Breeding Habitat
BLM REA CYR 2013 Near-term Future (2025) Landscape Condition within Trumpeter Swan Potential Breeding Habitat
BLM REA CYR 2013 Harlequin Duck Potential Breeding Habitat
BLM REA CYR 2013 Ring-Necked Duck Potential Breeding Habitat"
41,BLM REA YKL 2011 Historic (1989 to 2013) Areas of Insect and Disease Damage in the Yukon River Lowlands - Kuskokwim Mountains - Lime Hills,"BLM REA YKL 2011 Current (2009 to 2013) Areas of Insect and Disease Damage in the Yukon River Lowlands - Kuskokwim Mountains - Lime Hills
BLM REA YKL 2011 Historic (1989 to 2013) Areas of Insect and Disease Damage in Alaska
BLM REA YKL 2011 Historic (1989 to 2013) Areas of Spruce Beetle Damage in the Yukon River Lowlands - Kuskokwim Mountains - Lime Hills
BLM REA YKL 2011 Current (2009 to 2013) Areas of Spruce Beetle Damage in the Yukon River Lowlands - Kuskokwim Mountains - Lime Hills
BLM REA CYR 2013 Forest damaged by insect and disease agents in Central Yukon study area from 2000 to 2014"
42,BLM REA CYR 2013 Future Mining Potential,"BLM REA CYR 2013 Near-term Future Mine Sites
BLM REA CYR 2013 Placer Mining Potential
BLM REA CYR 2013 Long-term Future Mine Sites
BLM REA CYR 2013 Potential Mining Areas within State Protected Lands
BLM REA CYR 2013 Potential Mining Areas within Federal Protected Lands"
43,BLM REA NWP 2011 Percentage of Sagebrush in Northwest Plains Ecoregion,"BLM REA MIR 2011 Percentage of Sagebrush in Middle Rockies Ecoregion
BLM REA NWP 2011 current score of shrublands in the Northwest Plains Ecoregion
BLM REA NWP 2011 Distribution Model for Greater Sage-Grouse in Northwest Plains Ecoregion
BLM REA NWP 2011 Current Status for Greater Sage-Grouse in Northwest Plains Ecoregion
BLM REA NWP 2011 shrublands in the Northwest Plains Ecoregion"
44,"BLM REA YKL 2011 Subsistence Harvest Areas of Moose in Nulato, Alaska.","BLM REA YKL 2011 Subsistence Harvest Areas of Moose in Iliamna, Alaska.
BLM REA YKL 2011 Subsistence Harvest Areas of Moose in Takotna, Alaska.
BLM REA YKL 2011 Subsistence Harvest Areas of Moose in Newhalen, Alaska.
BLM REA YKL 2011 Subsistence Harvest Areas of Moose in Aniak, Alaska.
BLM REA YKL 2011 Subsistence Harvest Areas of Moose in Anvik, Alaska."
45,BLM OR District Boundary Polygon,"BLM OR District Boundary Land Polygon
BLM Administrative Unit Boundary Polygons
BLM OR Resource Area Boundary Polygon
BLM NV Administrative Unit Boundary Polygons (District Offices)
BLM OR Resource Area Land Boundaries Polygon"
46,"BLM REA YKL 2011 Subsistence Harvest Areas of Berries and Plants in Newhalen, Alaska.","BLM REA YKL 2011 Subsistence Harvest Areas of Berries and Plants in Aniak, Alaska.
BLM REA YKL 2011 Subsistence Harvest Areas of Berries and Plants in Takotna, Alaska.
BLM REA YKL 2011 Subsistence Harvest Areas of Berries and Plants in Nulato, Alaska.
BLM REA YKL 2011 Subsistence Harvest Areas of Berries and Plants in Anvik, Alaska.
BLM REA YKL 2011 Subsistence Harvest Areas of Berries and Plants in Chuathbaluk, Alaska."
47,BLM REA NWP 2011 Ecoregion Boundary,"BLM REA NWP 2011 Ecoregion
BLM REA MIR 2011 Ecoregion Boundary
BLM REA NWP 2011 State Boundaries
BLM REA COP 2010 TNC Ecoregional Portfolio, Phase 1
BLM REA NWP 2011 EI Development Layer"
48,Range Improvements (POLYGON),"Range Improvements (LINE)
Range Improvements (POINT)
BLM OR OHV Designation Publication Polygon
BLM NV Resource Advisory Council Polygons
BLM OR ROD NCO Visual Resource Management Areas Polygon"
49,BLM REA CYR 2013 Current (2010s) Mean Annual Ground Temperature,"BLM REA CYR 2013 Current (2010s) Mean Annual Temperature
BLM REA CYR 2013 Current (2010s) Mean Annual Ground Temperature Alaska
BLM REA CYR 2013 Current (2010s) Mean Annual Temperature in Alaska
BLM REA CYR 2013 Current (2010s) Total Annual Precipitation
BLM REA CYR 2013 Current (2010s) Date of Thaw"
50,BLM REA CYR 2013 Current (2010s) Snow Day Fraction February,"BLM REA CYR 2013 Current (2010s) Snow Day Fraction May
BLM REA CYR 2013 Current (2010s) Total December-January-February Precipitation
BLM REA CYR 2013 Long-term Future (2060s) Snow Day Fraction February
BLM REA CYR 2013 Near-term Future (2020s) Snow Day Fraction February
BLM REA CYR 2013 Current (2010s) Mean December-January-February Temperature"
51,BLM REA YKL 2011 CL C AlaskaDayofThaw A1B,"BLM REA YKL 2011 CL L AlaskaDayofThaw A1B
BLM REA YKL 2011 CL N AlaskaDayofThaw A1B
BLM REA YKL 2011 CL C AlaskaDayofFreeze A1B
BLM REA YKL 2011 CL C AlaskaWinterTotalPPT A1B
BLM REA YKL 2011 CL L AlaskaDayofFreeze A1B"
52,BLM REA YKL 2011 Community Locations in the Yukon River Lowlands - Kuskokwim Mountains - Lime Hills,"BLM REA YKL 2011 Community Developed Areas for the Yukon River Lowlands - Kuskokwim Mountains - Lime Hills
BLM REA YKL 2011 Yukon River Lowlands - Kuskokwim Mountains - Lime Hills
BLM REA YKL 2011 General Land Status in the Yukon River Lowlands - Kuskokwim Mountains - Lime Hills
BLM REA YKL 2011 YKL Subsistence River Segment points in the Yukon River Lowlands - Kuskokwim Mountains - Lime Hills
BLM REA YKL 2011 Access Trails in the Yukon River Lowlands - Kuskokwim Mountains - Lime Hills"
53,BLM REA YKL 2011 BLM Field Offices,"BLM REA YKL 2011 States
BLM REA MIR 2011 NWP AdminUnitOff Pts
BLM REA NWP 2011 MIR PLSS Sec
BLM REA NWP 2011 MIR AdminUnitOff Pts
BLM REA NWP 2011 recl siz"
54,BLM REA YKL 2011 Outline of the Alaska BAER Earth Cover Classification Input in the Yukon River Lowlands - Kuskokwim Mountains - Lime Hills,"BLM REA YKL 2011 Outline of the Alaska Statewide Landcover Classification Input in the Yukon River Lowlands - Kuskokwim Mountains - Lime Hills
BLM REA YKL 2011 Outline of the Alaska Peninsula and Becharof National Wildlife Refuges Earth Cover Classification Map Input in the Yukon River Lowlands - Kuskokwim Mountains - Lime Hills
BLM REA YKL 2011 Outline of the Togiak National Wildlife Refuge Earth Cover Input in the Yukon River Lowlands - Kuskokwim Mountains - Lime Hills
BLM REA YKL 2011 Outline of the Yukon Delta National Wildlife Refuge Earth Cover Input in the Yukon River Lowlands - Kuskokwim Mountains - Lime Hills
BLM REA YKL 2011 Outline of the Land Cover Map of Denali National Park and Preserve Input in the Yukon River Lowlands - Kuskokwim Mountains - Lime Hills"
55,BLM OR Hydrography 17060101 Flowlines Lines,"BLM OR Hydrography 17060102 Flowlines Lines
BLM OR Hydrography 17060103 Flowlines Lines
BLM OR Hydrography 17060109 Flowlines Lines
BLM OR Hydrography 17060107 Flowlines Lines
BLM OR Hydrography 17060106 Flowlines Lines"
56,BLM REA YKL 2011 Current Sources of Oil/Fuel Power in Communities in the Yukon River Lowlands - Kuskokwim Mountains - Lime Hills,"BLM REA YKL 2011 Current Sources of Energy Supply in Communities in the Yukon River Lowlands - Kuskokwim Mountains - Lime Hills
BLM REA CYR 2013 Existing Oil Energy Sources in Communities in the Central Yukon
BLM REA YKL 2011 Renewable Energy Projects in the Yukon River Lowlands - Kuskokwim Mountains - Lime Hills
BLM REA YKL 2011 Distribution of Potential Biomass Energy in the Yukon River Lowlands - Kuskokwim Mountains - Lime Hills
BLM REA YKL 2011 Current Sources of Hydropower in Communities in the Yukon River Lowlands - Kuskokwim Mountains - Lime Hills"
57,BLM OR Hydrography 17100207 Waterbodies Polygon,"BLM OR Hydrography 17100201 Waterbodies Polygon
BLM OR Hydrography 17110007 Waterbodies Polygon
BLM OR Hydrography 17100312 Waterbodies Polygon
BLM OR Hydrography 17110008 Waterbodies Polygon
BLM OR Hydrography 17110019 Waterbodies Polygon"
58,BLM REA NWP 2011 Potentially suitable soil types for Russian Knapweed,"BLM REA MIR 2011 Potentially suitable soil types for Russian Knapweed
BLM REA NWP 2011 Vegetation types potentially suitable for Russian Knapweed
BLM REA NWP 2011 Elevations potentially suitable for Russian Knapweed
BLM REA MIR 2011 Vegetation types potentially suitable for Russian Knapweed
BLM REA MIR 2011 Elevations potentially suitable for Russian Knapweed"
59,BLM REA YKL 2011 Near-Term Future (2025) Cumulative Impacts in the Yukon River Lowlands - Kuskokwim Mountains - Lime Hills,"BLM REA YKL 2011 Near-Term Future (2025) Abiotic Cumulative Impacts in the Yukon River Lowlands - Kuskokwim Mountains - Lime Hills
BLM REA YKL 2011 Near-Term Future (2025) Anthropogenic/Biotic Cumulative Impacts in the Yukon River Lowlands - Kuskokwim Mountains - Lime Hills
BLM REA YKL 2011 Near-Term Future (2025) Landscape Condition Model in the Yukon River Lowlands - Kuskokwim Mountains - Lime Hills
BLM REA YKL 2011 Near-Term Future (2025) Landscape Condition Status in Current Distribution of Floodplains in the Yukon River Lowlands - Kuskokwim Mountains - Lime Hills
BLM REA YKL 2011 Near-Term Future (2025) Landscape Condition Status in Current Distribution of Sheefish in the Yukon River Lowlands - Kuskokwim Mountains - Lime Hills"
60,BLM OR Administrative Unit Office Polygon,"BLM OR Administrative Unit Office Lines
BLM OR Administrative Units Office Point
BLM Administrative Unit Office Points
BLM OR State Office Boundaries Polygon
BLM OR Administrative Units Office Historic Polygon"
61,BLM REA CYR 2013 Mallard Potential Breeding Habitat,"BLM REA CYR 2013 Bufflehead Potential Breeding Habitat
BLM REA CYR 2013 Lesser Scaup Potential Breeding Habitat
BLM REA CYR 2013 Common Merganser Potential Breeding Habitat
BLM REA CYR 2013 Barrow's Goldeneye Potential Breeding Habitat
BLM REA CYR 2013 Canvasback Potential Breeding Habitat"
62,BLM REA CYR 2013 Current (2010s) Summer Warmth Index in Lowland Woody Wetland,"BLM REA CYR 2013 Current (2010s) Summer Warmth Index in Floodplain Forest and Shrub
BLM REA CYR 2013 Current (2010s) Summer Warmth Index in Upland Low and Tall Shrub Tundra
BLM REA CYR 2013 Long-term Future (2060s) Summer Warmth Index in Lowland Woody Wetland
BLM REA CYR 2013 Current (2010s) Summer Warmth Index
BLM REA CYR 2013 Current (2010s) Summer Warmth Index in Upland Mesic Spruce-hardwood Forest"
