post_title,data_provider,post_excerpt,use_case,related_data_sets,rating,data_categories
"Acxiom Audience Activation 1st Party Data - CRM Data Onboarding (USA, UK & Germany Covered)",Acxiom,"Acxiom Audience Activation 1st Party Data - CRM Data Onboarding (USA, UK & Germany Covered) dataset provides information regarding: Retail & Commerce Data and more.",,"Acxiom Activation Lookalikes - CRM Data (USA, Germany, UK, India & Brazil Covered),Fifty: 1st Party Audience Data for CRM Enrichment (Asia, Europe, North America),NetWise Audience Platform self-serve access to quality activation-ready, multi-channel B2B data,Acxiom High Value Audiences (HVA) - Audience Data (Germany, UK & India Covered) :",4,Retail & Commerce Data
"Acxiom Custom High Value Audiences (HVA) - Audience Data (Germany, UK & India Covered)",Acxiom,"Acxiom Custom High Value Audiences (HVA) - Audience Data (Germany, UK & India Covered) dataset provides information regarding: Consumer Lifestyle Data,Demographic Data,Marketing Attribution Data and more.",,"Acxiom High Value Audiences (HVA) - Audience Data (Germany, UK & India Covered),Acxiom Customer Data Integration (CDI) - Audience Data (Germany & UK Covered),Custom Audiences: Audience Data for LATAM,start.io Custom Audiences - Audience Data for North & South America, Europe, Oceania & Africa :",3,"Consumer Lifestyle Data,Demographic Data,Marketing Attribution Data"
"Acxiom High Value Audiences (HVA) - Audience Data (Germany, UK & India Covered)",Acxiom,"Acxiom High Value Audiences (HVA) - Audience Data (Germany, UK & India Covered) dataset provides information regarding: Consumer Lifestyle Data,Demographic Data,Marketing Attribution Data,Individual Data and more.",,"Acxiom Custom High Value Audiences (HVA) - Audience Data (Germany, UK & India Covered),Acxiom Customer Data Integration (CDI) - Audience Data (Germany & UK Covered),Custom Audiences: Audience Data for LATAM,start.io Prepackaged Audiences - Audience Data with Global Coverage :",5,"Consumer Lifestyle Data,Demographic Data,Marketing Attribution Data,Individual Data"
Acxiom Audience Data Enhancement - Validate & Enhance Customer Data (Germany Covered),Acxiom,"Acxiom Audience Data Enhancement - Validate & Enhance Customer Data (Germany Covered) dataset provides information regarding: Demographic Data,Individual Data and more.",,"Acxiom Custom High Value Audiences (HVA) - Audience Data (Germany, UK & India Covered),B2B Contact Data Cleansing and Enhancement,Public Sector Customer Analysis and Potential (CAP) Report UK,Data Appending/ Data Cleansing/ Data Enhancement/ List Building Services :",5,"Demographic Data,Individual Data"
Personicx by Acxiom: 360deg Consumer Segmentation Data (UK & Germany Covered),Acxiom,"Personicx by Acxiom: 360deg Consumer Segmentation Data (UK & Germany Covered) dataset provides information regarding: Demographic Data,Consumer Lifestyle Data,Individual Data and more.",Algo-Trading,"Acxiom High Value Audiences (HVA) - Audience Data (Germany, UK & India Covered),Auto Segment - Accurate customer segmentation,Healthwise Data | pH Segmentation USA - 246M people segmented into 14 health clusters,Symphony :",5,"Demographic Data,Consumer Lifestyle Data,Individual Data"
Acxiom B2B INFOBASE(r) - B2B & Company Database (Germany Covered),Acxiom,"Acxiom B2B INFOBASE(r) - B2B & Company Database (Germany Covered) dataset provides information regarding: B2B Data,B2B Intent Data and more.",,"Acxiom INFOBASE(r) - Consumer Data - Individual Level Database (Germany, UK & India Covered),B2B Live Global Company Database,Acxiom Geo-Spatial Data and Analytics (Germany & UK Covered),B2B Contact Database of Enterprise Companies in Germany, Austria, Switzerland - Address-Base :",4,"B2B Data,B2B Intent Data"
Acxiom Real Identity(tm) - Customer Identity Data (Germany & UK Covered),Acxiom,"Acxiom Real Identity(tm) - Customer Identity Data (Germany & UK Covered) dataset provides information regarding: Individual Data,Consumer Lifestyle Data,Demographic Data,Identity Data and more.",,"Roq.ad Public Cross-Device Identity GraphIdentity Data for USA, Germany, Poland,Acxiom Customer Data Integration (CDI) - Audience Data (Germany & UK Covered),Adstra Identity Graph | People Identity Data USA (HEM, MAID),TL1mkt Identity Graph for Identity ResolutionWORLDWIDE3.3B Identity Linkages :",3,"Individual Data,Consumer Lifestyle Data,Demographic Data,Identity Data"
Adara In-Market Travel Data: US and International Trips,Adara,"Adara In-Market Travel Data: US and International Trips dataset provides information regarding: Demographic Data,Tourism Data and more.","Online and Social Media Performance Tracking,Behavioral Targeting","Adara Booked Travel Data: US and International Trips,Adstra Travel | In-Market Consumer Travel Data USA,International Email Checker API,Adara's Leisure Travel Data for US or International Trips :",5,"Demographic Data,Tourism Data"
"Adara Wealth and Homebuyer Data | Homeowners, Likely to Purchase a Home, Wealth Tiers, Credit Card Holders",Adara,"Adara Wealth and Homebuyer Data | Homeowners, Likely to Purchase a Home, Wealth Tiers, Credit Card Holders dataset provides information regarding: Real Estate Data,Individual Data and more.","Online and Social Media Performance Tracking,Behavioral Targeting","Multimedia Lists - New Homeowners Database USA (1 Million purchases),New Mover Data on U.S. Consumers - Pre-movers, Homeowners At Listing, Homeowners Under Contract, Newly Moved Renters, Newly Moved Homeowners,Vendigi's Recent Homeowners and Renters for the United States,TRAK Data - Full US Consumer Finance Data - Household Income, Wealth, Investments, Credit Card Behaviors, Insurance, Mortgage, Spending Habits :",3,"Real Estate Data,Individual Data"
"Adara Experience Data | Concert Goers, Restaurant Goers, Sports Game Attendees, Theatre Goers",Adara,"Adara Experience Data | Concert Goers, Restaurant Goers, Sports Game Attendees, Theatre Goers dataset provides information regarding: Sports & Entertainment Events Data,Hospitality Industry Data,Stock & Market Data and more.","Online and Social Media Performance Tracking,Behavioral Targeting","Restaurant Data - Connect With 250K+ Restaurant Owners, Executives, Operations With Ease.,US Restaurant POI dataset with metadata,Automaton AI Restaurant Image (multi-camera CCTV data),7M Restaurants, Nightlife Bars, Pubs, Spas, Urban Life Data: Phone, Address, Lon & Lat :",4,"Sports & Entertainment Events Data,Hospitality Industry Data,Stock & Market Data"
Adara Booked Travel Data: US and International Trips,Adara,"Adara Booked Travel Data: US and International Trips dataset provides information regarding: Demographic Data,Tourism Data and more.","Online and Social Media Performance Tracking,Behavioral Targeting","Adara In-Market Travel Data: US and International Trips,International Email Checker API,Adara's Leisure Travel Data for US or International Trips,International Trade Information :",5,"Demographic Data,Tourism Data"
Adara's Leisure Travel Data for US or International Trips,Adara,"Adara's Leisure Travel Data for US or International Trips dataset provides information regarding: Tourism Data,Aerospace Industry Data and more.","Online and Social Media Performance Tracking,Behavioral Targeting","Adara's Business Travel Data for US or International Trips,International Email Checker API,International Trade Information,Adara Booked Travel Data: US and International Trips :",4,"Tourism Data,Aerospace Industry Data"
Adara's Business Travel Data for US or International Trips,Adara,"Adara's Business Travel Data for US or International Trips dataset provides information regarding: Tourism Data,Aerospace Industry Data and more.","Online and Social Media Performance Tracking,Behavioral Targeting","Adara's Leisure Travel Data for US or International Trips,International Email Checker API,Adara Booked Travel Data: US and International Trips,International Trade Information :",4,"Tourism Data,Aerospace Industry Data"
"Adstra Wealth | Affluent Consumers in the USA and their positions, passions, and possessions",Adstra,"Adstra Wealth | Affluent Consumers in the USA and their positions, passions, and possessions dataset provides information regarding: Employment Data,Demographic Data,Individual Data and more.",,"The Open People Search API for USA consumers and businesses,Multimedia List wireless activation and reactivation data of consumers in the USA (120m consumers),B2C Link - links business executive and their individual demographic data,Adstra Caregivers | Caregiver Audience Data in the USA :",4,"Employment Data,Demographic Data,Individual Data"
Adstra Travel | In-Market Consumer Travel Data USA,Adstra,"Adstra Travel | In-Market Consumer Travel Data USA dataset provides information regarding: Demographic Data,Tourism Data,Individual Data and more.",Targeted Marketing,"TravelIQ,Adara In-Market Travel Data: US and International Trips,Travel, Hotel and Flights Price Intelligence | Travel Data API,X-Byte | Travel, Hotel and Flights Price Intelligence | Travel Data API :",3,"Demographic Data,Tourism Data,Individual Data"
"Adstra Identity Graph | People Identity Data USA (HEM, MAID)",Adstra,"Adstra Identity Graph | People Identity Data USA (HEM, MAID) dataset provides information regarding: Identity Data,Demographic Data,Consumer Lifestyle Data,Cross-Device Identity Data and more.",Targeted Marketing,"TrueData Identity Graph (UID2.0, HEM, Maid, AAID),Identity Graph Data USA,BDEX Identity Graph for Identity ResolutionUSA900M Identity Linkages,MediaWallah - Deterministic People-Based Identity Graph :",4,"Identity Data,Demographic Data,Consumer Lifestyle Data,Cross-Device Identity Data"
"Adstra Consumer | Consumer Data USA, Canada, Australia (232M individuals and 300 data elements)",Adstra,"Adstra Consumer | Consumer Data USA, Canada, Australia (232M individuals and 300 data elements) dataset provides information regarding: Consumer Lifestyle Data,Individual Data and more.",,"Mapping Resources: Consumer List Database - Individual and Household Consumer Identity Data for the USA,JobsIQ,Multimedia Lists Consumer Audience Data USA (245 Million Individuals),Throtle - Consumer Identity Resolution USA (130M+ households, 250M+ individuals) :",5,"Consumer Lifestyle Data,Individual Data"
Adstra Health | Healthcare Marketing Data USA 100% HIPAA compliant,Adstra,"Adstra Health | Healthcare Marketing Data USA 100% HIPAA compliant dataset provides information regarding: Demographic Data,Marketing Attribution Data,Consumer Lifestyle Data and more.",,"Healthcare Marketing Data | B2b Healthcare leads | Healthcare Email List - MedicoReach,USA Healthcare Data for Multi channel marketing-Email-Phone-Direct Mail,Best Healthcare Solutions Provider | Healthcare Data | Physician Data,Healthcare Data - Reach Physicians, Pharmacists, Hospitals and More With Our 9M+ Verified Healthcare Leads :",4,"Demographic Data,Marketing Attribution Data,Consumer Lifestyle Data"
Adstra Link2Me | | Persistent ID to match infinite attributes to US consumers (cloud platform),Adstra,"Adstra Link2Me | | Persistent ID to match infinite attributes to US consumers (cloud platform) dataset provides information regarding: Identity Data,Marketing Attribution Data,Consumer Lifestyle Data and more.",Online and Social Media Performance Tracking,"Lifesight Consumer Graph USA | Append 100+ Attributes from 300M+ Consumer Profiles,Throtle - Consumer Data Intelligence USA with 150+ consumer attributes,Identity Graph Data USA,FrescoData Direct Mail Marketing (Consumer Intent Based Attributes/Lifestyle Data)Global Audiences, 10K+ Attributes :",5,"Identity Data,Marketing Attribution Data,Consumer Lifestyle Data"
"Adstra HCP | Healthcare Providers Data USA (most comprehensive coverage of nurses, physicians, dentists)",Adstra,"Adstra HCP | Healthcare Providers Data USA (most comprehensive coverage of nurses, physicians, dentists) dataset provides information regarding: Demographic Data,Healthcare Data,Marketing Attribution Data and more.",Targeted Marketing,"Best Healthcare Solutions Provider | Healthcare Data | Physician Data,Healthcare Providers Data | HCP Data | Verified Contacts of Healthcare Providers,Healthcare Data - Reach Physicians, Pharmacists, Hospitals and More With Our 9M+ Verified Healthcare Leads,Company Comprehensive API (UK) - B2B Data :",3,"Demographic Data,Healthcare Data,Marketing Attribution Data"
Adstra Political | Voter Data USA of political affiliation and voting history,Adstra,"Adstra Political | Voter Data USA of political affiliation and voting history dataset provides information regarding: Demographic Data,Political Poll Data,Political Data and more.",,"Political Data | Voter Data - Run political campaigns easily - Thomson Data,Consumer data with socio-political attitudes,Political Data - Connect with Voters, Fundraisers, Donors Through Marketing Campaigns,MBI Geodata - Political Risk Index on all countries in the world :",4,"Demographic Data,Political Poll Data,Political Data"
African Economic & Financial Database (AFED),African Financial & Economic Data,"African Economic & Financial Database (AFED) dataset provides information regarding: Sports & Entertainment Events Data,Economic Data and more.","Portfolio Management,Economic Forecasting","Bank Rating Report for African Financial Institutions,EDI Global Economic Data (8 databases, 200 countries covered),FACTSET Market Data (Global Coverage) - Economic Data Sourced from 800+ Databases,FirstRate Data - US Fundamental Data (Historical Financial Data for 30 Years Quarterly Financials for 5500 Tickers) :",5,"Sports & Entertainment Events Data,Economic Data"
EDI Economic Indictor Service (EIS) with live calendar,African Financial & Economic Data,"EDI Economic Indictor Service (EIS) with live calendar dataset provides information regarding: Economic Data,B2B Intent Data and more.",Portfolio Management,"EDI Global Economic Indicator Service (32k macro-economic indicators),Wall Street Horizon Corporate Event Data - Earnings calendar, Dividends, Interim Calendar, Corporate Actions,EconomyIQ,ISS ESG Economic Value Added Data (EVA) :",4,"Economic Data,B2B Intent Data"
AlgoSeek Futures Trade and Quote data US coverage - historic data till 2010,Algoseek,AlgoSeek Futures Trade and Quote data US coverage - historic data till 2010 dataset provides information regarding: Stock & Market Data and more.,,"AlgoSeek Equity Trade and Quote Minute Bar US coverage,Historical Futures Trade and Quote Data (Europe, China, USA & Canada covered)Olsen Data,AlgoSeek Equity Trade and Quote Data US coverage - nanosecond timestamps since 2016,EDI Historical End-of-Day Pricing Data with global coverage (13 years history) :",4,Stock & Market Data
"Alqami Mobile Device Location Data USA & LATAM (GPS) | 5M geo-tagged POI, millions of users",Alqami,"Alqami Mobile Device Location Data USA & LATAM (GPS) | 5M geo-tagged POI, millions of users dataset provides information regarding: Location Data,Economic Data,Tourism Data,Online/Mobile Data and more.",,"Quadrant Mobile Location Data LATAM - 500+ Million Unique Devices,Onemata Global Raw Mobile Device Location Data - 700 Million Monthly Devices - SDK Location Data,Multimedia Lists - Mobile Device & Location Data USA & Global (4 Billion devices),Tamoco Aggregated Footfall Data in the UK (8M SDK devices, 1.5M Point-of-Interests) :",4,"Location Data,Economic Data,Tourism Data,Online/Mobile Data"
"Alqami Online Food Purchase Data Global - 5 year history, 500M recipe interactions monthly",Alqami,"Alqami Online Food Purchase Data Global - 5 year history, 500M recipe interactions monthly dataset provides information regarding: Individual Data,Consumer Lifestyle Data,Retail & Commerce Data and more.",,"Alqami Vegan Food Product Data Global (2 years history, daily frequency),Above Data | Global Clickstream / Weblog Data (>500M DAU, 2 years history),MBI Geodata - Purchasing Power Data & Income Data Globally (10 years history),Retail food delivery data & Online food ordering App Scraping | Scrape Food App Data :",5,"Individual Data,Consumer Lifestyle Data,Retail & Commerce Data"
Alqami US Risk Analysis of Corporate Filings - predicting corporate financial results,Alqami,"Alqami US Risk Analysis of Corporate Filings - predicting corporate financial results dataset provides information regarding: Economic Data,Company Data and more.",,"Nikkei Corporate Financial Data Japan - 4,000 listed companies, 50 years history, daily updated,CUFTanalytics' Corporate Bond Issues from US SEC filings w/+10 data fields; 1Q2021 w/+300 records,EDI Mutual Funds US - Corporate Actions Data,Corporate Contact Data - reach corporate executives and professionals across the globe - Thomson Data :",3,"Economic Data,Company Data"
Alqami Defense Industry Manufacturing Data Global | market forecasts & intelligence,Alqami,"Alqami Defense Industry Manufacturing Data Global | market forecasts & intelligence dataset provides information regarding: Economic Data,Environmental Data,Trade Data,Industry-Specific Data and more.",,"Manufacturing Company Data - Get List of Manufacturing Companies, Decision Makers Data. Global Coverage,List of 22M Manufacturing companies worldwide,FACTSET Alternative Data (Global Coverage) - Novel ESG, Market & Business Intelligence,Span Global Services: Industry B2B Email Data - Global Email Lists, Geo-Targeted, Ethically-sourced, 70+ Intelligence Fields :",3,"Economic Data,Environmental Data,Trade Data,Industry-Specific Data"
"Alqami Global Business Travel Data | Flight & Hotel (tickerized, POS transactions)",Alqami,"Alqami Global Business Travel Data | Flight & Hotel (tickerized, POS transactions) dataset provides information regarding: Economic Data,Aerospace Industry Data,Hospitality Industry Data,Tourism Data and more.",,"Travel, Hotel and Flights Price Intelligence | Travel Data API,X-Byte | Travel, Hotel and Flights Price Intelligence | Travel Data API,Bright Data | Travel Data - Global Coverage - Travel Industry Data from Hotel Websites & Flight Aggregators,Alqami Global Travel & Tourism data in real-time (hotels, airlines, cruises, car rentals) :",3,"Economic Data,Aerospace Industry Data,Hospitality Industry Data,Tourism Data"
"Alqami Airport Landing Slot Data UK, Canada, New Zealand | Passenger & Freight with 25 years history",Alqami,"Alqami Airport Landing Slot Data UK, Canada, New Zealand | Passenger & Freight with 25 years history dataset provides information regarding: Economic Data,Company Data,Aerospace Industry Data and more.",,"FinPricing Inflation Curve Data Feed API - USA, UK, Canada, Australia, New Zealand,Alqami Vegan Food Product Data Global (2 years history, daily frequency),Quant IP Patent and Innovation Metrics for 400k companies, 25+ years history,Dow Jones Newswires - USA news data :",3,"Economic Data,Company Data,Aerospace Industry Data"
"Alqami Media Publication Platform | Global news articles, 42 languages, real-time",Alqami,"Alqami Media Publication Platform | Global news articles, 42 languages, real-time dataset provides information regarding: News Data,Economic Data,Sports & Entertainment Events Data and more.",,"Kieli NLP Data - Fully-labelled dataset of Arabic language for Machine Learning & AI platforms,Dow Jones Newswires - USA news data,FACTSET News & Research Data (Global Coverage) - Real-time Market & Financial Intelligence,TAUS Language Translation Data | Parallel translation for Covid-19, Medical and Healthcare, various languages for Machine Learning :",4,"News Data,Economic Data,Sports & Entertainment Events Data"
"Alqami Global Travel & Tourism data in real-time (hotels, airlines, cruises, car rentals)",Alqami,"Alqami Global Travel & Tourism data in real-time (hotels, airlines, cruises, car rentals) dataset provides information regarding: Tourism Data,Hospitality Industry Data, Retail & Commerce Data and more.",,"X-Byte | Global Travel and Tourism data in Real-Time API (Hotels, Airlines, Cruises, Car Rentals),Alqami Global Business Travel Data | Flight & Hotel (tickerized, POS transactions),Aviation Edge - Global Airline Routes API - Passive Airline Route Data,90 West Data - US Consumer Credit Card / Debit Card / Transaction Data - Travel & Entertainment Panel :",4,"Tourism Data,Hospitality Industry Data, Retail & Commerce Data"
Super Spenders 360 - Pet Vet - Pet Owners,AmeriBase,"Super Spenders 360 - Pet Vet - Pet Owners dataset provides information regarding: Consumer Lifestyle Data,Email Data and more.",,"Xavvy's dynamic Fuel/Diesel/Petrol Price Data of Gas Stations in Europe,Petabite Maritime Data: Extracted ship sightings from space based on Sentinel-1 GRDH data with first level of pixel identification,Polyethylene Terephthalate (PET) Service: Commodity Data for Russia, Belarus, Ukraine, Kazakhstan and Uzbekistan - Market Report Company,List Builder 360(tm) -- Cryptocurrency Investors :",4,"Consumer Lifestyle Data,Email Data"
Student Loan Debt - Masterfile,AmeriBase,"Student Loan Debt - Masterfile dataset provides information regarding: Individual Data,Economic Data and more.",,"BIGDBM B2B Masterfile - USA B2B Data including B2B2C, emails, phone, MAIDs, and social,Student Marketing Data - Reach Out to Students With Our Customizable Student Data,Money DashboardUK Consumer High-Frequency Loans Data 15M Loan Applications,USA College Student Database - ASL Marketing :",4,"Individual Data,Economic Data"
List Builder 360(tm) - Cryptocurrency Investors,AmeriBase,"List Builder 360(tm) - Cryptocurrency Investors dataset provides information regarding: Retail & Commerce Data,SEO & Web Advertising Data,Web Data and more.",Targeted Marketing,"List Builder 360(tm) -- Cryptocurrency Investors,Finage Real-Time & Historical Cryptocurrency Market Feed - Global Cryptocurrency Data,NCFX Cryptocurrencies - Live Cryptocurrency Data, Global Coverage,Cloud Giant Level 2 Order Book Data-Cryptocurrency :",5,"Retail & Commerce Data,SEO & Web Advertising Data,Web Data"
Home Owners by Lendable Home Equity,AmeriBase,"Home Owners by Lendable Home Equity dataset provides information regarding: Real Estate Investment Data,Real Estate Data and more.",,"Datastream Real Property and New Home Owners File USA - Property Ownership Data,Multimedia Lists - New Mover Data of US consumers (19.6 million new home owners),Adara Wealth and Homebuyer Data | Homeowners, Likely to Purchase a Home, Wealth Tiers, Credit Card Holders,New Mover Data on U.S. Consumers - Pre-movers, Homeowners At Listing, Homeowners Under Contract, Newly Moved Renters, Newly Moved Homeowners :",3,"Real Estate Investment Data,Real Estate Data"
Business E-Telligence C-Level Officers At Email Address,AmeriBase,"Business E-Telligence C-Level Officers At Email Address dataset provides information regarding: Business Registry Data,B2B Data,Firmographic Data and more.",,"IP Address Reputation & Intelligence,Accutrend Data: B2B Liquor Business Intelligence for USA,Company Name, Contact Name , Job title, Email Address, Phone Number, Business Mailing Address,,priceintelligence - catalog intelligence :",3,"Business Registry Data,B2B Data,Firmographic Data"
List Builder 360(tm) -- In-Market Custom Segments,AmeriBase,"List Builder 360(tm) -- In-Market Custom Segments dataset provides information regarding: SEO & Web Advertising Data,Web Data and more.",,"List Builder 360(tm) - Cryptocurrency Investors,Auto Segment - Accurate customer segmentation,Adapt.io Custom B2B Lead Builder for US & India - 100M business contacts and 20 filters,List Builder 360(tm) -- Cryptocurrency Investors :",5,"SEO & Web Advertising Data,Web Data"
Good To Give - Animal Welfare Donors,AmeriBase,"Good To Give - Animal Welfare Donors dataset provides information regarding: Marketing Attribution Data,Individual Data and more.",,"Marketcheck Automotive API US & Canada (Gives Access To All Automotive Data, All In One Place),Location analysis for given area on demand,Global Tenders and Grants funding opportunities from over +400 international donors,Jewelry & Luxury Goods Product Sales Volume Data :",5,"Marketing Attribution Data,Individual Data"
EconomyIQ by AnalyticsIQ - Economic Data USA - 241M Individuals,AnalyticsIQ,EconomyIQ by AnalyticsIQ - Economic Data USA - 241M Individuals dataset provides information regarding: Economic Data and more.,,"FinanceIQ,EDI Global Economic Indicator Service (32k macro-economic indicators),505 Economics: monthly luminosity data to measure economic activity and digital connectivity,ISS ESG Economic Value Added Data (EVA) :",4,Economic Data
FinanceIQ by AnalyticsIQ - Consumer Finance Data USA - 241M Individuals,AnalyticsIQ,"FinanceIQ by AnalyticsIQ - Consumer Finance Data USA - 241M Individuals dataset provides information regarding: Economic Data,Individual Data and more.",Targeted Marketing,"JobsIQ,Adstra Consumer | Consumer Data USA, Canada, Australia (232M individuals and 300 data elements),Multimedia Lists Consumer Audience Data USA (245 Million Individuals),Location Data from China and Korea at individual level enable one to analyse the consumer behaviour :",4,"Economic Data,Individual Data"
InterestIQ by AnalyticsIQ - Consumer Lifestyle Data USA - 241M Individuals,AnalyticsIQ,"InterestIQ by AnalyticsIQ - Consumer Lifestyle Data USA - 241M Individuals dataset provides information regarding: Economic Data,Consumer Lifestyle Data,Demographic Data,Sports & Entertainment Data and more.",Targeted Marketing,"Symphony,MBI Geodata - Consumer Lifestyles Data based on consumer interests (51 countries, 5 years history),Adstra Consumer | Consumer Data USA, Canada, Australia (232M individuals and 300 data elements),Multimedia Lists Consumer Audience Data USA (245 Million Individuals) :",3,"Economic Data,Consumer Lifestyle Data,Demographic Data,Sports & Entertainment Data"
InMarketIQ by AnalyticsIQ - Consumer Purchase Data USA - 241M Individuals,AnalyticsIQ,"InMarketIQ by AnalyticsIQ - Consumer Purchase Data USA - 241M Individuals dataset provides information regarding: Demographic Data,Individual Data,Consumer Lifestyle Data and more.",Targeted Marketing,"PurchaserIQ,MotivatorIQ,Adstra Consumer | Consumer Data USA, Canada, Australia (232M individuals and 300 data elements),Multimedia Lists Consumer Audience Data USA (245 Million Individuals) :",4,"Demographic Data,Individual Data,Consumer Lifestyle Data"
